Ticket_ID,Date_Key,Agent_ID,Customer_ID,Channel_ID,Department_ID,Issue_Type_ID,Status_ID,Shift_ID,Satisfaction_ID,First_Response_Time,Handle_Time,Resolution_Time,First_Call_Resolution,Escalation_Flag,Transfer_Count,Reopen_Count,SLA_Breached,Agent_Utilization,Occupancy_Rate
334,2475,4548,1325,77,1862,1815,1/10/1907,12/19/1903,153,13,31,26,1,0,0,1,0,76.9,69.18
339,722,5881,6014,3070,4186,4833,4/3/1914,8/14/1905,4703,14,60,51,1,0,0,1,0,78.99,94.04
349,147,615,4814,531,3528,5526,8/5/1910,11/30/1910,2847,32,108,24,1,0,0,1,0,63.22,75.03
376,3579,4026,5247,3047,1464,3091,4/16/1910,4/15/1915,4822,57,99,33,1,0,0,1,0,82.08,86.41
380,70,5308,3095,4031,1758,5177,5/10/1905,2/7/1903,428,11,59,21,1,0,0,1,0,78.33,91.98
383,3263,582,2030,1176,1897,408,4/4/1903,10/31/1906,1845,13,91,19,1,0,0,1,0,80.23,69.38
405,2014,3684,1108,5576,3635,2243,1/7/1902,9/6/1902,5840,46,51,58,1,0,0,1,0,81.98,80.7
415,435,5548,318,5085,759,1080,11/16/1909,1/21/1911,3308,5,108,37,1,0,0,1,0,64.29,82.96
430,2185,468,5928,5657,4869,5351,4/16/1916,5/15/1901,5792,44,84,46,1,0,0,1,0,89.2,65.55
441,1428,2981,460,3999,2750,3987,10/8/1908,3/2/1907,533,23,87,45,1,0,0,1,0,67.76,92.63
449,841,3229,5704,4126,1089,3799,2/12/1910,3/18/1915,2409,46,104,40,1,0,0,1,0,62.09,70.29
458,3445,112,8403,5144,1889,5244,5/31/1914,2/3/1908,3783,33,42,23,1,0,0,1,0,74.35,93.63
460,2781,4227,5265,495,4680,5522,10/17/1903,8/20/1909,1011,24,114,58,1,0,0,1,0,66.15,61.68
480,4070,5854,2501,4274,1249,1258,1/31/1908,5/12/1906,1150,17,89,58,1,0,0,1,0,65,66.27
491,2456,1622,5458,3578,421,1386,3/1/1914,7/10/1902,5458,48,21,51,1,0,0,1,0,90.31,93.41
506,1172,4432,8666,3634,5515,1072,6/24/1915,12/18/1900,5139,4,95,45,1,0,0,1,0,87.98,67.1
543,3587,3416,8704,660,2337,548,8/3/1908,9/18/1914,3189,45,31,37,1,0,0,1,0,87.55,87.43
546,31,1093,8900,1775,5473,442,6/24/1901,9/6/1912,83,22,102,17,1,0,0,1,0,71.04,82.59
551,3325,4,6498,4255,3260,4188,12/7/1903,9/30/1912,1350,38,64,55,1,0,0,1,0,69.21,70.86
555,128,3424,1906,4094,3366,1800,7/4/1909,4/2/1915,5727,3,114,16,1,0,0,1,0,67.49,63.04
604,1589,1755,522,5693,5821,1419,5/9/1915,10/17/1908,3348,10,107,27,1,0,0,1,0,61.16,91.28
615,328,4906,3626,4567,4640,5921,9/26/1905,6/14/1915,4176,22,36,59,1,0,0,1,0,78.79,80.05
620,4428,3916,8061,5710,751,538,5/7/1903,12/14/1907,3515,55,20,30,1,0,0,1,0,93.14,73.51
624,4010,3257,7273,2354,626,5998,6/25/1906,12/5/1915,1029,9,102,54,1,0,0,1,0,66.02,77.39
671,4229,2531,456,696,2897,4909,12/30/1900,4/16/1905,4787,58,52,28,1,0,0,1,0,94.1,84.53
709,1128,248,6956,3603,5916,1182,10/31/1911,1/5/1911,5555,16,72,24,1,0,0,1,0,84.57,63.6
717,813,4014,3855,614,5100,2198,7/6/1912,12/1/1908,3566,14,116,48,1,0,0,1,0,72.23,75.57
744,747,5841,4550,1976,1817,4704,6/11/1901,4/13/1904,4156,44,29,36,1,0,0,1,0,68.3,60.6
746,3850,1400,3880,2359,2146,1388,9/8/1907,12/29/1911,116,7,16,50,1,0,0,1,0,66.44,87.14
751,1520,5005,4212,2226,2538,1601,5/22/1916,5/29/1914,535,52,23,53,1,0,0,1,0,61.24,72.18
755,2891,2068,8677,5514,2324,2611,7/3/1911,3/9/1908,2984,7,27,43,1,0,0,1,0,64.83,70.77
765,191,5625,7021,2472,4995,1402,12/30/1902,9/4/1907,499,14,30,44,1,0,0,1,0,69.49,64.54
766,1941,1716,2002,3982,2764,351,12/3/1911,5/27/1908,3391,18,31,15,1,0,0,1,0,77.69,62.51
774,1839,2510,802,5047,4717,372,7/4/1906,7/12/1915,4572,21,45,57,1,0,0,1,0,72.19,75.12
776,1713,2906,1790,3156,5955,3668,8/31/1904,11/19/1903,221,36,110,11,1,0,0,1,0,77.46,80.75
781,2896,5315,8304,3454,1094,5771,3/27/1915,5/18/1916,2093,3,91,59,1,0,0,1,0,80.99,60.26
813,4512,818,6643,1126,3500,3216,8/4/1908,9/19/1911,1148,31,17,37,1,0,0,1,0,74.79,63.52
821,365,1650,6383,3360,702,5003,5/10/1907,12/22/1915,3276,21,9,11,1,0,0,1,0,85.97,68.02
825,1558,5241,4979,4667,5215,5538,8/6/1903,4/26/1911,2327,6,106,53,1,0,0,1,0,93.22,80.73
848,3760,4864,3778,3639,5655,1877,6/28/1907,3/1/1915,501,47,53,53,1,0,0,1,0,69.08,75.01
874,4310,4545,4310,1163,2305,4289,8/31/1912,2/15/1905,683,41,57,32,1,0,0,1,0,77.11,62.48
884,712,5967,1477,925,330,5773,8/5/1903,5/2/1915,1770,46,82,43,1,0,0,1,0,82.72,82.14
909,1798,4401,8185,5378,1721,2492,9/16/1906,11/7/1913,843,47,37,11,1,0,0,1,0,65.35,78.7
923,1098,158,1177,102,3533,1281,6/13/1900,6/26/1909,6005,3,30,42,1,0,0,1,0,71.82,90
936,3335,3314,7341,4398,3721,2686,10/24/1905,1/31/1914,3692,20,87,14,1,0,0,1,0,87.8,89.49
945,367,2601,3615,5091,621,3514,3/8/1900,9/28/1907,4945,39,19,51,1,0,0,1,0,77.6,64.53
947,3474,5905,6644,1084,1695,5779,2/10/1911,4/15/1908,1784,53,18,48,1,0,0,1,0,82.02,66.54
954,245,758,5142,4683,1171,2134,6/5/1914,2/6/1911,3307,47,61,47,1,0,0,1,0,80.34,87.73
961,2180,2738,6374,5785,1420,5553,11/15/1904,10/19/1907,6309,28,43,44,1,0,0,1,0,82.18,82.22
974,4934,1168,5497,1006,3793,5827,2/22/1907,4/29/1910,3653,29,32,10,1,0,0,1,0,85.78,66.86
998,2600,5251,5685,1517,4856,2582,2/8/1901,7/2/1910,2118,1,75,18,1,0,0,1,0,83.07,88.82
1007,1086,1865,3902,2945,5278,227,11/14/1911,5/3/1905,2518,57,84,21,1,0,0,1,0,75.71,66.86
1019,1318,1794,3760,1119,2972,3991,5/21/1910,4/22/1906,4529,56,27,11,1,0,0,1,0,61.68,78.3
1020,932,3866,5215,2875,683,837,9/30/1905,8/23/1910,4173,42,42,34,1,0,0,1,0,88.35,88.58
1022,2810,3494,7718,5417,3172,5971,5/20/1908,6/3/1915,1228,5,67,46,1,0,0,1,0,84.81,70.36
1027,4303,2249,2976,1572,2052,2217,9/23/1910,8/9/1911,4386,27,85,12,1,0,0,1,0,78.56,67.14
1031,88,302,8724,3519,5266,3966,6/22/1901,12/23/1908,659,50,93,28,1,0,0,1,0,64.23,86.09
1035,209,1321,7099,2543,2488,496,1/10/1911,3/14/1909,261,24,45,57,1,0,0,1,0,91.09,84.04
1047,2370,562,3848,3193,2491,854,1/7/1904,11/12/1909,1228,16,29,31,1,0,0,1,0,70.16,76.77
1059,296,3563,3868,3349,580,3271,2/27/1912,8/10/1912,607,15,69,30,1,0,0,1,0,66.52,91.05
1060,2095,4788,2920,3660,1579,629,12/15/1910,9/9/1912,932,12,91,30,1,0,0,1,0,90.14,93.3
1084,3487,1194,5738,2959,4398,1399,2/17/1914,8/4/1906,3341,57,112,45,1,0,0,1,0,69.07,78.45
1106,2937,1382,2768,5742,2778,5710,12/1/1912,9/20/1901,5558,50,106,42,1,0,0,1,0,75.44,74.05
1108,509,5876,8070,4913,5104,453,11/8/1913,7/22/1914,4255,36,10,20,1,0,0,1,0,85.17,74.25
1126,292,4299,7792,3498,1035,1356,5/25/1910,11/2/1906,1775,49,65,21,1,0,0,1,0,67.15,89.24
1155,4103,1708,5456,1435,2181,171,11/16/1902,10/20/1911,5640,43,23,51,1,0,0,1,0,88.87,79.86
1156,3585,3719,7447,3966,2971,2544,9/1/1906,9/21/1914,216,30,97,26,1,0,0,1,0,60.4,84.93
1178,4750,2395,382,4005,2123,5952,2/11/1912,5/25/1907,2221,45,77,28,1,0,0,1,0,94.25,75.41
1252,4460,5927,6042,1480,4820,5633,12/27/1911,1/8/1907,4613,45,60,47,1,0,0,1,0,87.92,80.38
1265,3295,3940,8884,1187,3758,2966,2/4/1910,6/30/1913,3561,18,74,47,1,0,0,1,0,84.85,88.42
1268,1416,2522,6286,2030,5383,1213,6/24/1905,4/4/1905,5445,52,105,28,1,0,0,1,0,93.94,80.77
1272,1784,5373,6664,1656,2901,2175,6/26/1904,10/18/1906,726,47,90,31,1,0,0,1,0,64.97,86.83
1278,1621,1902,160,267,573,791,7/28/1903,12/6/1903,3690,28,103,39,1,0,0,1,0,89.57,89.59
1291,1899,4051,6848,1341,4297,1693,11/28/1915,6/28/1903,2114,18,102,46,1,0,0,1,0,73.75,62.08
1304,4429,2335,7495,5706,4525,5035,12/21/1909,8/1/1901,4478,16,49,58,1,0,0,1,0,71.68,76.68
1305,2786,2304,8812,1523,70,494,8/28/1903,7/13/1902,4069,13,88,19,1,0,0,1,0,87.65,88.97
1309,2627,1228,7882,5391,2147,1063,12/26/1903,12/21/1910,593,17,87,53,1,0,0,1,0,77.75,65.79
1317,4450,2765,7682,3453,5242,5404,2/14/1906,5/30/1903,538,19,19,40,1,0,0,1,0,81.48,68.88
1338,2329,5199,1720,2325,2010,5926,10/27/1900,11/26/1904,3315,8,72,54,1,0,0,1,0,88.52,92.31
1365,244,2177,4905,4834,5207,1504,7/2/1908,1/7/1901,690,58,69,57,1,0,0,1,0,72.45,82.4
1383,2151,5244,1814,3467,3895,793,7/24/1901,4/5/1904,2389,3,13,25,1,0,0,1,0,76.05,76.79
1393,1980,2746,4247,4868,3489,5642,10/4/1914,8/23/1912,1090,38,106,44,1,0,0,1,0,60.74,84.18
1402,1344,505,2572,680,1729,5524,8/3/1903,1/14/1913,51,47,62,11,1,0,0,1,0,72.95,66.75
1430,2900,4543,5607,1739,629,268,6/4/1905,6/24/1910,1082,24,61,45,1,0,0,1,0,72.63,71.82
1452,1501,2035,4923,4218,2107,3169,12/11/1915,4/8/1902,4847,59,65,24,1,0,0,1,0,71.65,62.59
1460,3639,138,6116,2837,4121,2337,2/9/1916,7/18/1913,2027,18,7,25,1,0,0,1,0,85.34,70.45
1464,4729,5855,1461,3567,5364,2759,8/20/1900,2/3/1912,1948,53,84,14,1,0,0,1,0,67.35,62.81
1469,1556,3178,6470,415,5391,3559,9/30/1909,4/19/1909,2650,39,71,24,1,0,0,1,0,90.48,65.78
1472,83,1363,1254,3042,3075,1776,7/2/1901,12/8/1909,4459,26,21,40,1,0,0,1,0,61.16,64.51
1474,520,1232,5100,4493,2845,3988,8/10/1901,1/15/1902,4837,10,80,26,1,0,0,1,0,67.17,88.05
1544,3019,1476,5710,5121,3533,4589,3/24/1904,2/9/1911,6139,25,7,53,1,0,0,1,0,62.5,79.46
1547,3422,1538,4510,5613,649,3452,9/21/1905,4/8/1907,4986,23,21,53,1,0,0,1,0,75.97,92.03
1551,2103,2255,8344,5201,5770,1911,11/29/1902,3/15/1902,456,32,71,25,1,0,0,1,0,74.71,64.6
1555,2140,143,524,1233,4826,96,6/29/1907,1/24/1906,3885,33,113,58,1,0,0,1,0,74.57,82.34
1585,1987,490,2950,1853,3008,2172,6/29/1915,9/24/1913,6154,1,107,49,1,0,0,1,0,80.72,79.42
1598,911,2294,6333,5815,364,3719,1/13/1916,4/1/1914,4465,2,85,12,1,0,0,1,0,80.54,93.1
1614,359,224,6023,5539,371,130,3/24/1914,12/25/1911,6961,28,36,49,1,0,0,1,0,87.99,92.52
1619,552,2537,4595,4121,2008,1619,3/30/1915,11/12/1907,4558,4,57,14,1,0,0,1,0,84.71,94.47
1634,2469,3592,8911,2784,3781,2519,2/10/1902,12/23/1907,2889,6,112,17,1,0,0,1,0,71.96,76.44
1675,2745,5656,2496,1995,902,5988,3/26/1905,5/28/1906,4083,44,93,18,1,0,0,1,0,74.67,91.65
1723,384,3150,5637,4058,1592,4747,11/18/1900,5/15/1915,6387,21,61,29,1,0,0,1,0,81.59,94.18
1750,3759,3738,5631,2394,5949,4451,10/9/1903,6/13/1914,5101,16,75,31,1,0,0,1,0,70.53,88.3
1753,2153,2419,3280,2653,3799,1093,7/17/1908,4/22/1911,427,43,66,14,1,0,0,1,0,88.46,77.6
1760,1669,1326,5633,1560,4920,4661,11/24/1907,4/19/1914,925,15,5,34,1,0,0,1,0,66.92,76.54
1763,3708,4223,519,5499,5438,628,12/25/1906,10/5/1904,1549,58,107,54,1,0,0,1,0,76.44,84.82
1764,3399,4578,6583,630,379,905,11/21/1907,6/16/1906,6143,17,49,36,1,0,0,1,0,67.8,67.44
1770,1017,502,5991,4934,5004,751,5/3/1906,12/14/1908,3004,9,9,22,1,0,0,1,0,73.12,64.26
1784,3758,5782,1539,4235,3289,5185,11/2/1913,4/15/1907,1764,40,36,53,1,0,0,1,0,71.85,76.28
1787,523,2964,2925,3843,1660,4489,1/7/1902,1/23/1905,5549,14,107,16,1,0,0,1,0,64.62,75.41
1788,104,1014,5957,2561,4156,4023,2/15/1915,10/16/1912,90,48,98,39,1,0,0,1,0,64.99,93.22
1799,2834,3702,7754,5700,3290,3267,3/4/1915,4/13/1913,201,56,67,15,1,0,0,1,0,92.08,90.55
1829,257,5733,4236,5821,4197,4634,10/19/1914,5/6/1911,3453,14,59,39,1,0,0,1,0,72.5,87.93
1847,4778,2741,2661,628,3456,1916,1/23/1910,6/29/1913,5438,45,56,52,1,0,0,1,0,84.9,61.43
1849,206,478,3218,2254,3254,3507,2/10/1900,12/3/1909,1588,1,32,30,1,0,0,1,0,86.49,80.71
1875,2650,1360,4730,4097,1575,1134,4/29/1901,10/11/1900,1839,17,95,20,1,0,0,1,0,83.89,65.68
1883,1650,5107,7513,2960,3984,3015,12/21/1910,3/17/1901,6096,37,45,58,1,0,0,1,0,83.01,68.95
1937,2493,1297,3188,5827,5181,2504,1/27/1911,7/25/1902,48,25,112,13,1,0,0,1,0,75.55,93.61
1940,2667,1254,4201,3097,1344,2730,8/29/1902,3/10/1907,2398,9,71,20,1,0,0,1,0,71.14,91.14
1941,2582,991,7444,4508,78,5891,12/17/1907,7/16/1902,6563,34,113,33,1,0,0,1,0,78.37,61.37
1976,3776,2289,825,5879,2038,1022,1/19/1913,8/2/1910,6764,44,32,20,1,0,0,1,0,66.75,71.69
1984,385,4228,3311,3197,4209,2690,5/12/1905,6/16/1901,4150,52,93,54,1,0,0,1,0,66.8,75.04
1998,4840,2686,4722,2023,1989,281,2/9/1900,6/17/1901,6832,46,77,16,1,0,0,1,0,83.35,89.07
2016,3510,537,5035,3822,4314,2290,5/12/1904,6/1/1907,2255,39,27,55,1,0,0,1,0,85.9,90.14
2025,3014,1447,2271,4900,596,468,3/1/1900,5/5/1903,5993,16,64,36,1,0,0,1,0,82.49,60.26
2039,2238,4256,2918,1678,5590,4089,11/14/1908,4/16/1904,4419,15,99,21,1,0,0,1,0,63.81,61.26
2056,941,896,86,4663,248,2138,3/14/1911,12/14/1910,729,36,108,24,1,0,0,1,0,65.21,89.32
2102,4973,2593,5066,4702,1567,4361,1/22/1915,7/26/1914,2136,54,60,14,1,0,0,1,0,75.64,65.43
2120,2479,5040,3563,1184,873,806,2/20/1907,8/18/1913,3639,11,80,51,1,0,0,1,0,72.17,78.74
2152,3623,3456,2299,3746,1713,2818,2/14/1915,2/26/1900,5059,39,5,48,1,0,0,1,0,94.8,61.06
2163,4981,655,8348,236,5579,2709,8/22/1910,11/17/1911,1113,22,112,23,1,0,0,1,0,75.33,81.35
2172,3735,5534,4936,3934,5914,2662,8/31/1912,5/29/1916,2162,20,104,51,1,0,0,1,0,68.62,93.75
2181,182,4809,6465,3113,1845,5546,11/28/1903,2/29/1908,2012,22,100,35,1,0,0,1,0,75.91,80.07
2184,3026,644,5014,5655,5531,2895,2/24/1915,1/4/1910,6558,28,102,46,1,0,0,1,0,87.77,72.19
2191,1609,4230,1566,380,3423,3143,11/27/1908,2/1/1907,4624,11,82,21,1,0,0,1,0,61.9,61.91
2198,4879,26,7005,3666,4388,3090,1/19/1913,12/15/1914,185,15,115,49,1,0,0,1,0,69.03,77.9
2205,2402,610,7522,996,1600,2422,9/25/1915,1/19/1900,1487,29,12,26,1,0,0,1,0,60.41,61.1
2213,2847,4051,6750,426,322,130,7/16/1911,7/17/1915,3757,42,106,35,1,0,0,1,0,82.67,85.85
2216,4243,3689,8771,1341,3256,2133,5/26/1900,8/19/1912,4711,53,114,58,1,0,0,1,0,80.16,90.34
2219,825,3602,3507,1144,1886,5862,10/27/1903,7/16/1900,6465,39,48,54,1,0,0,1,0,76.13,84.98
2247,4241,3410,8923,230,4747,4194,11/19/1906,7/3/1905,5037,52,45,30,1,0,0,1,0,75.8,75.09
2261,2245,1882,4783,966,310,3962,12/23/1909,5/28/1911,2350,21,96,50,1,0,0,1,0,88.16,78.41
2267,4724,202,5764,2438,5928,3905,1/29/1913,11/21/1912,5991,49,39,40,1,0,0,1,0,69.08,69.79
2272,4523,1340,2943,2893,5386,4651,9/5/1904,11/16/1909,392,44,34,44,1,0,0,1,0,87.61,82.36
2291,4475,253,4443,759,3750,907,11/30/1915,8/20/1910,6782,12,52,55,1,0,0,1,0,85.29,77.06
2302,2422,1633,8951,5900,2328,3049,6/24/1910,10/30/1904,196,8,117,43,1,0,0,1,0,68.57,61.76
2309,2691,3427,7077,498,2611,5193,1/9/1914,12/8/1910,6999,5,24,17,1,0,0,1,0,87.3,94.09
2313,643,2166,7211,1469,58,4381,7/1/1912,10/17/1900,6768,3,75,27,1,0,0,1,0,93.34,87.36
2330,2964,2480,2327,3586,2830,3472,10/14/1903,4/24/1903,4913,26,93,38,1,0,0,1,0,94.07,62.07
2347,1972,4887,1037,5135,256,2654,2/28/1906,11/20/1902,349,32,45,47,1,0,0,1,0,74.31,83.92
2348,1377,4096,8319,1678,5882,5920,9/29/1905,3/5/1908,6938,36,78,50,1,0,0,1,0,83.96,73.08
2364,2879,1476,8300,3312,4582,4849,10/28/1908,11/10/1906,5327,29,58,23,1,0,0,1,0,88.64,93.79
2418,1716,1853,6532,373,239,715,6/28/1906,4/5/1900,6250,35,10,23,1,0,0,1,0,61.21,64.04
2423,3724,3428,6812,4733,5165,3060,3/16/1916,11/23/1909,5652,35,114,41,1,0,0,1,0,84.14,62.29
2442,1102,4885,8687,1994,1517,1022,3/5/1915,2/6/1902,388,13,64,53,1,0,0,1,0,80.17,76.97
2465,1342,2137,3217,4690,514,3718,11/18/1913,10/7/1905,5399,27,105,47,1,0,0,1,0,61.99,68.06
2480,3322,5868,5918,4771,1305,3280,8/7/1909,11/9/1915,540,30,11,58,1,0,0,1,0,94.89,91.6
2485,3484,4187,2144,955,5099,730,4/21/1903,10/12/1904,2291,56,65,30,1,0,0,1,0,85.24,64.37
2489,223,5871,1129,2677,3185,1069,12/8/1915,10/20/1903,913,27,96,45,1,0,0,1,0,82.44,64.8
2497,1162,3670,6796,3945,4848,1163,7/31/1902,3/6/1904,737,54,89,19,1,0,0,1,0,86,62.08
2502,3554,1994,8424,1266,5260,2823,7/1/1905,10/26/1913,1720,51,35,22,1,0,0,1,0,62.91,69.66
2505,1244,1311,1152,1383,65,3790,2/22/1912,8/30/1900,3137,33,35,20,1,0,0,1,0,83.58,92.37
2508,4297,930,6692,272,2652,30,7/30/1910,8/27/1913,3141,27,92,34,1,0,0,1,0,71.69,82.9
2522,2478,5148,3706,1408,2389,5529,5/13/1901,2/5/1910,4558,48,6,24,1,0,0,1,0,79.26,65.07
2528,1240,3446,2125,4461,4979,4113,8/5/1910,8/9/1914,5309,47,61,25,1,0,0,1,0,62.43,70.9
2539,2523,2166,3581,5075,5568,267,12/2/1903,12/27/1901,736,52,85,44,1,0,0,1,0,78.14,67.59
2551,2560,928,8997,1987,3803,1909,9/30/1915,2/9/1913,6379,40,75,32,1,0,0,1,0,80.39,63.7
2572,243,500,3791,4138,1843,2802,5/6/1909,10/13/1915,180,30,18,55,1,0,0,1,0,84.08,90.01
2580,1669,5853,732,4589,4981,3409,7/7/1913,10/25/1904,4309,34,23,23,1,0,0,1,0,62.16,87.33
2596,3800,1142,905,1438,1445,3042,6/12/1912,9/11/1914,4027,55,55,54,1,0,0,1,0,93.64,70.9
2603,4516,1409,6866,91,4742,3473,1/18/1904,6/5/1902,3476,42,96,48,1,0,0,1,0,70.58,91.49
2609,2567,2318,5289,5756,3609,2487,3/7/1901,1/30/1907,3864,51,80,29,1,0,0,1,0,76.09,80.39
2615,1217,1564,6249,98,2392,1918,11/8/1900,7/14/1902,4785,25,108,35,1,0,0,1,0,64.82,78.63
2641,3047,353,3372,3294,5586,4728,5/5/1902,7/13/1904,4460,27,65,25,1,0,0,1,0,73.11,63.12
2644,2067,2719,8591,5042,4053,1898,6/7/1915,10/14/1905,1101,21,115,49,1,0,0,1,0,83.28,93.6
2660,1251,1778,8830,684,1372,3652,11/25/1915,4/16/1909,2346,24,100,50,1,0,0,1,0,66.96,83
2667,763,1670,4824,2577,3011,3973,5/15/1916,4/9/1913,2845,21,80,54,1,0,0,1,0,86.92,71.31
2678,4846,3009,449,731,3531,1595,12/29/1900,5/21/1902,1012,57,43,56,1,0,0,1,0,80.42,89.23
2679,2119,1064,2572,3016,2389,457,10/25/1902,8/31/1911,585,21,60,17,1,0,0,1,0,76.06,66.05
2717,1696,5161,7704,5415,393,4615,9/5/1905,6/13/1903,5695,1,38,36,1,0,0,1,0,60.46,75.85
2723,2789,3957,4952,4823,930,5886,3/23/1906,11/23/1902,452,27,37,44,1,0,0,1,0,70.91,64.41
2730,2768,3223,7971,4328,1271,1559,4/7/1905,5/27/1913,4987,23,57,14,1,0,0,1,0,80.56,71.61
2744,3919,2772,2323,4071,5564,4734,12/20/1908,12/27/1905,1850,52,108,49,1,0,0,1,0,88.06,75.16
2772,1227,2064,934,2167,186,3731,8/8/1914,12/18/1904,2507,3,43,19,1,0,0,1,0,84.44,61.41
2788,1337,3043,3493,5910,75,4758,3/20/1902,11/30/1908,2561,41,71,45,1,0,0,1,0,83.28,73.74
2827,4271,3863,2681,2788,4568,23,12/20/1915,6/11/1915,3038,38,57,19,1,0,0,1,0,67.03,87.82
2875,2874,1456,8119,3272,119,1280,4/3/1911,5/25/1913,695,47,32,54,1,0,0,1,0,77.12,62.7
2893,4774,3617,2048,4872,5440,3201,8/5/1901,11/5/1910,6731,55,105,48,1,0,0,1,0,62.93,69.01
2894,2701,4471,4420,3414,3321,3435,7/23/1901,8/3/1914,2791,20,73,53,1,0,0,1,0,78.88,61
2915,3652,4519,5935,394,401,2131,7/17/1914,12/4/1908,3326,5,19,14,1,0,0,1,0,94.36,74.68
2959,1772,1955,7452,3937,2546,4818,3/21/1904,8/9/1908,399,15,100,29,1,0,0,1,0,64.41,72.99
2963,2123,1264,3627,695,3161,1207,11/19/1910,6/4/1908,3279,12,44,11,1,0,0,1,0,67.16,86.92
2976,1623,106,318,3059,314,3948,10/31/1906,8/27/1911,5055,58,34,31,1,0,0,1,0,87.19,64.03
2991,413,1423,25,3667,342,2031,11/15/1914,1/20/1910,4284,12,25,21,1,0,0,1,0,60.18,66.82
2996,3415,319,3209,2838,5139,4113,10/27/1910,9/27/1903,1517,59,21,51,1,0,0,1,0,74.27,60.7
3014,4517,5339,2904,4508,3154,2634,8/27/1915,9/28/1900,5665,8,13,18,1,0,0,1,0,68.87,91.04
3016,1181,3488,3315,5311,1021,5681,5/16/1905,3/9/1912,5080,13,116,36,1,0,0,1,0,74.79,61.43
3053,820,1737,8153,476,5637,3803,5/16/1905,6/21/1909,5231,32,78,43,1,0,0,1,0,66.3,74.18
3065,2585,958,1500,4420,4362,5840,4/19/1915,7/4/1901,665,16,21,51,1,0,0,1,0,79.8,60.06
3068,1170,2686,2766,4552,5251,3316,10/30/1909,8/31/1904,5323,55,38,26,1,0,0,1,0,62.02,71.32
3074,4378,4868,2967,1143,976,5003,1/13/1908,9/28/1909,1190,36,110,55,1,0,0,1,0,87.18,85.39
3076,4227,3858,7731,5397,212,399,9/17/1908,8/7/1902,5840,54,46,52,1,0,0,1,0,71.55,60.03
3101,3984,791,5813,3589,172,5025,5/12/1913,7/7/1902,5681,11,48,43,1,0,0,1,0,63.88,66.56
3113,4784,4041,5923,918,5213,686,10/9/1912,5/14/1906,3447,4,20,59,1,0,0,1,0,85.76,60.23
3132,3740,2949,3001,277,871,4140,11/6/1900,5/3/1906,2495,55,71,47,1,0,0,1,0,67.78,62.68
3140,3482,5665,1127,1614,5772,4919,12/29/1912,10/23/1903,973,33,66,58,1,0,0,1,0,89.09,79.94
3154,3520,470,839,4920,529,2309,4/20/1903,11/15/1908,5473,23,78,51,1,0,0,1,0,80.42,94.32
