Issue_Type_ID,Issue_Category,Priority_Level,Issue_Subcategory_Corrected,
5157,Technical,Medium,Hardware Issue,
850,Technical,Medium,Slow Performance,
1776,Technical,Medium,Slow Performance,
3795,Technical,Medium,Website Error,
2379,Technical,Medium,Slow Performance,
2182,Technical,Medium,Slow Performance,
1942,Technical,Medium,Slow Performance,
5339,Technical,Medium,Slow Performance,
1706,Technical,Medium,Slow Performance,
4630,Technical,Medium,Slow Performance,
3966,Technical,Medium,Slow Performance,
1489,Technical,Medium,Hardware Issue,
5825,Technical,Medium,Hardware Issue,
5497,Technical,Medium,Slow Performance,
5498,Technical,Medium,Hardware Issue,
5018,Technical,Medium,Slow Performance,
2843,Technical,Medium,Hardware Issue,
1699,Technical,Medium,Slow Performance,
1573,Technical,Medium,Website Error,
5973,Technical,Medium,Slow Performance,
4103,Technical,Medium,Website Error,
5457,Technical,Medium,Hardware Issue,
4388,Technical,Medium,Slow Performance,
2431,Technical,Medium,Hardware Issue,
602,Technical,Medium,Slow Performance,
4432,Technical,Medium,Slow Performance,
15,Technical,Medium,Hardware Issue,
2547,Technical,Medium,Slow Performance,
1843,Technical,Medium,Slow Performance,
1152,Technical,Medium,Slow Performance,
5639,Technical,Medium,Slow Performance,
5245,Technical,Medium,Hardware Issue,
4492,Technical,Medium,Slow Performance,
4990,Technical,Medium,Hardware Issue,
4023,Technical,Medium,Slow Performance,
694,Technical,Medium,Website Error,
3562,Technical,Medium,Slow Performance,
226,Technical,Medium,Slow Performance,
2956,Technical,Medium,Slow Performance,
2769,Technical,Medium,Slow Performance,
5219,Technical,Medium,Website Error,
4290,Technical,Medium,Slow Performance,
2850,Technical,Medium,Hardware Issue,
2202,Technical,Medium,Slow Performance,
1184,Technical,Medium,Hardware Issue,
452,Technical,Medium,Slow Performance,
139,Technical,Medium,Website Error,
5724,Technical,Medium,Website Error,
1097,Technical,Medium,Slow Performance,
1882,Technical,Medium,Slow Performance,
3387,Technical,Medium,Hardware Issue,
5176,Technical,Medium,Slow Performance,
4797,Technical,Medium,Slow Performance,
2299,Technical,Medium,Slow Performance,
5863,Technical,Medium,Slow Performance,
4797,Technical,Medium,Slow Performance,
3330,Technical,Medium,Slow Performance,
4342,Technical,Medium,Hardware Issue,
840,Technical,Medium,Slow Performance,
4248,Technical,Medium,Website Error,
927,Technical,Medium,Hardware Issue,
4469,Technical,Medium,Slow Performance,
2134,Technical,Medium,Slow Performance,
1319,Technical,Medium,Slow Performance,
2807,Technical,Medium,Slow Performance,
3535,Technical,Medium,Slow Performance,
429,Technical,Medium,Slow Performance,
5295,Technical,Medium,Hardware Issue,
828,Technical,Medium,Slow Performance,
2328,Technical,Medium,Hardware Issue,
399,Technical,Medium,Website Error,
5959,Technical,Medium,Slow Performance,
502,Technical,Medium,Hardware Issue,
3636,Technical,Medium,Slow Performance,
3953,Technical,Medium,Website Error,
743,Technical,Medium,Slow Performance,
4883,Technical,Medium,Slow Performance,
1800,Technical,Medium,Website Error,
1592,Technical,Medium,Website Error,
5645,Technical,Medium,Hardware Issue,
5947,Technical,Medium,Website Error,
294,Technical,Medium,Website Error,
4744,Technical,Medium,Hardware Issue,
4295,Technical,Medium,Slow Performance,
3212,Technical,Medium,Hardware Issue,
5741,Technical,Medium,Slow Performance,
5273,Technical,Medium,Slow Performance,
3910,Technical,Medium,Slow Performance,
1639,Technical,Medium,Website Error,
4546,Technical,Medium,Website Error,
1238,Technical,Medium,Website Error,
5529,Technical,Medium,Slow Performance,
1349,Technical,Medium,Website Error,
5957,Technical,Medium,Website Error,
1689,Technical,Medium,Slow Performance,
2657,Technical,Medium,Website Error,
4965,Technical,Medium,Website Error,
644,Technical,Medium,Slow Performance,
721,Technical,Medium,Hardware Issue,
1446,Technical,Medium,Slow Performance,
2618,Technical,Medium,Slow Performance,
3417,Technical,Medium,Website Error,
1474,Technical,Medium,Slow Performance,
1373,Technical,Medium,Slow Performance,
5988,Technical,Medium,Website Error,
5645,Technical,Medium,Slow Performance,
685,Technical,Medium,Slow Performance,
3686,Technical,Medium,Website Error,
3862,Technical,Medium,Hardware Issue,
3917,Technical,Medium,Slow Performance,
5171,Technical,Medium,Slow Performance,
738,Technical,Medium,Slow Performance,
2541,Technical,Medium,Hardware Issue,
1879,Technical,Medium,Slow Performance,
5832,Technical,Medium,Slow Performance,
5872,Technical,Medium,Slow Performance,
2451,Technical,Medium,Slow Performance,
1255,Technical,Medium,Hardware Issue,
3236,Technical,Medium,Slow Performance,
5526,Technical,Medium,Website Error,
2630,Technical,Medium,Slow Performance,
2396,Technical,Medium,Slow Performance,
3150,Technical,Medium,Website Error,
5489,Technical,Medium,Website Error,
2747,Technical,Medium,Hardware Issue,
5762,Technical,Medium,Website Error,
4157,Technical,Medium,Hardware Issue,
593,Technical,Medium,Slow Performance,
993,Technical,Medium,Website Error,
905,Technical,Medium,Website Error,
2874,Technical,Medium,Hardware Issue,
516,Technical,Medium,Website Error,
646,Technical,Medium,Website Error,
2019,Technical,Medium,Slow Performance,
1451,Technical,Medium,Hardware Issue,
157,Technical,Medium,Slow Performance,
5370,Technical,Medium,Website Error,
3739,Technical,Medium,Hardware Issue,
1376,Technical,Medium,Website Error,
2342,Technical,Medium,Slow Performance,
5149,Technical,Medium,Website Error,
2684,Technical,Medium,Slow Performance,
1303,Technical,Medium,Hardware Issue,
5153,Technical,Medium,Slow Performance,
4196,Technical,Medium,Slow Performance,
4008,Technical,Medium,Hardware Issue,
3161,Technical,Medium,Website Error,
2295,Technical,Medium,Hardware Issue,
1074,Technical,Medium,Slow Performance,
1453,Technical,Medium,Slow Performance,
2232,Technical,Medium,Hardware Issue,
5496,Technical,Medium,Website Error,
1311,Technical,Medium,Website Error,
3968,Technical,Medium,Hardware Issue,
2484,Technical,Medium,Hardware Issue,
2361,Technical,Medium,Website Error,
2477,Technical,Medium,Slow Performance,
4893,Technical,Medium,Slow Performance,
3194,Technical,Medium,Hardware Issue,
5311,Technical,Medium,Hardware Issue,
1335,Technical,Medium,Hardware Issue,
4177,Technical,Medium,Slow Performance,
2934,Technical,Medium,Slow Performance,
5251,Technical,Medium,Hardware Issue,
4020,Technical,Medium,Website Error,
1496,Technical,Medium,Website Error,
2052,Technical,Medium,Website Error,
5584,Technical,Medium,Website Error,
4319,Technical,Medium,Hardware Issue,
2576,Technical,Medium,Slow Performance,
5199,Technical,Medium,Slow Performance,
3058,Technical,Medium,Slow Performance,
4470,Technical,Medium,Slow Performance,
2388,Technical,Medium,Hardware Issue,
793,Technical,Medium,Hardware Issue,
3500,Technical,Medium,Slow Performance,
1128,Technical,Medium,Website Error,
4565,Technical,Medium,Slow Performance,
4493,Technical,Medium,Slow Performance,
1778,Technical,Medium,Slow Performance,
5509,Technical,Medium,Hardware Issue,
403,Technical,Medium,Hardware Issue,
5133,Technical,Medium,Slow Performance,
4150,Technical,Medium,Website Error,
1372,Technical,Medium,Website Error,
3596,Technical,Medium,Website Error,
2229,Technical,Medium,Hardware Issue,
3023,Technical,Medium,Hardware Issue,
4728,Technical,Medium,Slow Performance,
1962,Technical,Medium,Website Error,
5546,Technical,Medium,Hardware Issue,
2095,Technical,Medium,Website Error,
626,Technical,Medium,Website Error,
2414,Technical,Medium,Slow Performance,
3562,Technical,Medium,Website Error,
5844,Technical,Medium,Hardware Issue,
5730,Technical,Medium,Hardware Issue,
2097,Technical,Medium,Website Error,
1250,Technical,Medium,Hardware Issue,
4510,Technical,Medium,Hardware Issue,
281,Technical,Medium,Hardware Issue,
2693,Technical,Medium,Website Error,
4532,Technical,Medium,Website Error,
2106,Technical,Medium,Website Error,
763,Technical,Medium,Slow Performance,
3895,Technical,Medium,Website Error,
1402,Technical,Medium,Slow Performance,
2015,Technical,Medium,Slow Performance,
4612,Technical,Medium,Website Error,
1841,Technical,Medium,Hardware Issue,
1156,Technical,Medium,Slow Performance,
3710,Technical,Medium,Website Error,
3748,Technical,Medium,Website Error,
3952,Technical,Medium,Slow Performance,
2877,Technical,Medium,Website Error,
3503,Technical,Medium,Website Error,
2891,Technical,Medium,Website Error,
5825,Technical,Medium,Slow Performance,
1317,Technical,Medium,Hardware Issue,
632,Technical,Medium,Slow Performance,
4893,Technical,Medium,Hardware Issue,
5029,Technical,Medium,Slow Performance,
3253,Technical,Medium,Slow Performance,
4587,Technical,Medium,Website Error,
3126,Technical,Medium,Website Error,
2466,Technical,Medium,Slow Performance,
2869,Technical,Medium,Website Error,
2728,Technical,Medium,Website Error,
4151,Technical,Medium,Slow Performance,
5225,Technical,Medium,Website Error,
1677,Technical,Medium,Slow Performance,
48,Technical,Medium,Slow Performance,
3267,Technical,Medium,Website Error,
5595,Technical,Medium,Slow Performance,
2072,Technical,Medium,Website Error,
3163,Technical,Medium,Slow Performance,
4766,Technical,Medium,Slow Performance,
3507,Technical,Medium,Website Error,
867,Technical,Medium,Website Error,
5704,Technical,Medium,Hardware Issue,
4957,Technical,Medium,Slow Performance,
5858,Technical,Medium,Website Error,
496,Technical,Medium,Slow Performance,
5240,Technical,Medium,Slow Performance,
5837,Technical,Medium,Slow Performance,
3835,Technical,Medium,Website Error,
873,Technical,Medium,Hardware Issue,
1170,Technical,Medium,Website Error,
1822,Technical,Medium,Slow Performance,
3919,Technical,Medium,Slow Performance,
3613,Technical,Medium,Website Error,
4923,Technical,Medium,Slow Performance,
4215,Technical,Medium,Hardware Issue,
4817,Technical,Medium,Slow Performance,
469,Technical,Medium,Website Error,
4918,Technical,Medium,Slow Performance,
3327,Technical,Medium,Slow Performance,
587,Technical,Medium,Website Error,
4297,Technical,Medium,Slow Performance,
5240,Technical,Medium,Website Error,
3677,Technical,Medium,Slow Performance,
3210,Technical,Medium,Slow Performance,
1872,Technical,Medium,Slow Performance,
94,Technical,Medium,Slow Performance,
4109,Technical,Medium,Hardware Issue,
4935,Technical,Medium,Slow Performance,
4468,Technical,Medium,Slow Performance,
4415,Technical,Medium,Website Error,
5749,Bug,Medium,UI Glitch,
5902,Bug,Medium,UI Glitch,
1048,Bug,Medium,UI Glitch,
4186,Bug,Medium,Data Sync Error,
4221,Bug,Medium,UI Glitch,
4869,Bug,Medium,UI Glitch,
1069,Bug,Medium,Data Sync Error,
5945,Bug,Medium,Data Sync Error,
4291,Bug,Medium,Data Sync Error,
3605,Bug,Medium,App Crash,
1520,Bug,Medium,App Crash,
4654,Bug,Medium,UI Glitch,
5758,Bug,Medium,UI Glitch,
1156,Bug,Medium,App Crash,
2114,Bug,Medium,UI Glitch,
3390,Bug,Medium,App Crash,
3261,Bug,Medium,UI Glitch,
2350,Bug,Medium,Data Sync Error,
2458,Bug,Medium,UI Glitch,
289,Bug,Medium,UI Glitch,
4758,Bug,Medium,UI Glitch,
5504,Bug,Medium,UI Glitch,
1371,Bug,Medium,UI Glitch,
5594,Bug,Medium,UI Glitch,
3775,Bug,Medium,App Crash,
2474,Bug,Medium,Data Sync Error,
574,Bug,Medium,Data Sync Error,
2081,Bug,Medium,App Crash,
3710,Bug,Medium,UI Glitch,
4352,Bug,Medium,UI Glitch,
806,Bug,Medium,UI Glitch,
274,Bug,Medium,UI Glitch,
5162,Bug,Medium,App Crash,
5443,Bug,Medium,Data Sync Error,
5960,Bug,Medium,App Crash,
4678,Bug,Medium,App Crash,
2014,Bug,Medium,UI Glitch,
5849,Bug,Medium,UI Glitch,
3715,Bug,Medium,App Crash,
2802,Bug,Medium,UI Glitch,
1504,Bug,Medium,UI Glitch,
2134,Bug,Medium,Data Sync Error,
3602,Bug,Medium,UI Glitch,
4938,Bug,Medium,App Crash,
2119,Bug,Medium,UI Glitch,
3945,Bug,Medium,UI Glitch,
4575,Bug,Medium,UI Glitch,
5218,Bug,Medium,UI Glitch,
4696,Bug,Medium,Data Sync Error,
2719,Bug,Medium,UI Glitch,
4864,Bug,Medium,App Crash,
1372,Bug,Medium,UI Glitch,
4585,Bug,Medium,UI Glitch,
689,Bug,Medium,App Crash,
5548,Bug,Medium,App Crash,
226,Bug,Medium,UI Glitch,
343,Bug,Medium,App Crash,
699,Bug,Medium,UI Glitch,
3189,Bug,Medium,App Crash,
1166,Bug,Medium,UI Glitch,
600,Bug,Medium,UI Glitch,
3086,Bug,Medium,UI Glitch,
24,Bug,Medium,UI Glitch,
3027,Bug,Medium,App Crash,
661,Bug,Medium,UI Glitch,
446,Bug,Medium,App Crash,
1349,Bug,Medium,Data Sync Error,
4634,Bug,Medium,App Crash,
2799,Bug,Medium,UI Glitch,
3345,Bug,Medium,Data Sync Error,
147,Bug,Medium,App Crash,
3910,Bug,Medium,UI Glitch,
4362,Bug,Medium,UI Glitch,
3524,Bug,Medium,App Crash,
2792,Bug,Medium,Data Sync Error,
4269,Bug,Medium,Data Sync Error,
4654,Bug,Medium,Data Sync Error,
5370,Bug,Medium,UI Glitch,
1441,Bug,Medium,App Crash,
25,Bug,Medium,Data Sync Error,
5333,Bug,Medium,App Crash,
4980,Bug,Medium,UI Glitch,
2330,Bug,Medium,UI Glitch,
3042,Bug,Medium,UI Glitch,
1740,Bug,Medium,UI Glitch,
1061,Bug,Medium,App Crash,
2174,Bug,Medium,UI Glitch,
1945,Bug,Medium,UI Glitch,
264,Bug,Medium,App Crash,
2003,Bug,Medium,UI Glitch,
5552,Bug,Medium,App Crash,
4040,Bug,Medium,Data Sync Error,
3899,Bug,Medium,App Crash,
972,Bug,Medium,UI Glitch,
1759,Bug,Medium,UI Glitch,
2906,Bug,Medium,Data Sync Error,
2664,Bug,Medium,Data Sync Error,
2781,Bug,Medium,App Crash,
1664,Bug,Medium,UI Glitch,
3338,Bug,Medium,Data Sync Error,
1015,Bug,Medium,UI Glitch,
4995,Bug,Medium,UI Glitch,
1662,Bug,Medium,UI Glitch,
3504,Bug,Medium,Data Sync Error,
5570,Bug,Medium,UI Glitch,
1355,Bug,Medium,UI Glitch,
3129,Bug,Medium,App Crash,
4701,Bug,Medium,App Crash,
3761,Bug,Medium,UI Glitch,
5431,Bug,Medium,UI Glitch,
3959,Bug,Medium,UI Glitch,
525,Bug,Medium,UI Glitch,
1389,Bug,Medium,UI Glitch,
5717,Bug,Medium,UI Glitch,
5619,Bug,Medium,UI Glitch,
5482,Bug,Medium,Data Sync Error,
899,Bug,Medium,Data Sync Error,
3992,Bug,Medium,App Crash,
2471,Bug,Medium,UI Glitch,
3894,Bug,Medium,Data Sync Error,
2991,Bug,Medium,UI Glitch,
1354,Bug,Medium,App Crash,
1531,Bug,Medium,App Crash,
3775,Bug,Medium,UI Glitch,
4837,Bug,Medium,UI Glitch,
4393,Bug,Medium,UI Glitch,
4897,Bug,Medium,App Crash,
1356,Bug,Medium,UI Glitch,
23,Bug,Medium,UI Glitch,
3774,Bug,Medium,UI Glitch,
4799,Bug,Medium,UI Glitch,
4507,Bug,Medium,App Crash,
844,Bug,Medium,UI Glitch,
5838,Bug,Medium,UI Glitch,
3271,Bug,Medium,Data Sync Error,
2192,Bug,Medium,App Crash,
927,Bug,Medium,UI Glitch,
5612,Bug,Medium,UI Glitch,
5828,Bug,Medium,UI Glitch,
1476,Bug,Medium,UI Glitch,
3826,Bug,Medium,UI Glitch,
5487,Bug,Medium,UI Glitch,
1531,Bug,Medium,Data Sync Error,
612,Bug,Medium,Data Sync Error,
5166,Bug,Medium,UI Glitch,
1428,Bug,Medium,UI Glitch,
5662,Bug,Medium,App Crash,
407,Bug,Medium,Data Sync Error,
5491,Bug,Medium,App Crash,
5154,Bug,Medium,App Crash,
5751,Bug,Medium,UI Glitch,
5417,Bug,Medium,UI Glitch,
5572,Bug,Medium,UI Glitch,
4020,Bug,Medium,App Crash,
514,Bug,Medium,App Crash,
3400,Bug,Medium,UI Glitch,
36,Bug,Medium,UI Glitch,
1563,Bug,Medium,App Crash,
3321,Bug,Medium,UI Glitch,
4216,Bug,Medium,App Crash,
1527,Bug,Medium,UI Glitch,
5051,Bug,Medium,Data Sync Error,
4476,Bug,Medium,UI Glitch,
1533,Bug,Medium,Data Sync Error,
1240,Bug,Medium,App Crash,
4347,Bug,Medium,UI Glitch,
323,Bug,Medium,Data Sync Error,
2663,Bug,Medium,Data Sync Error,
1555,Bug,Medium,App Crash,
3638,Bug,Medium,App Crash,
5913,Bug,Medium,UI Glitch,
825,Bug,Medium,UI Glitch,
3038,Bug,Medium,Data Sync Error,
4844,Bug,Medium,App Crash,
3772,Bug,Medium,App Crash,
3711,Bug,Medium,Data Sync Error,
1796,Bug,Medium,UI Glitch,
3250,Bug,Medium,UI Glitch,
5401,Bug,Medium,UI Glitch,
5525,Bug,Medium,App Crash,
985,Bug,Medium,UI Glitch,
325,Bug,Medium,UI Glitch,
970,Bug,Medium,App Crash,
3241,Bug,Medium,App Crash,
1499,Bug,Medium,UI Glitch,
2273,Bug,Medium,UI Glitch,
1622,Bug,Medium,UI Glitch,
790,Bug,Medium,Data Sync Error,
5609,Bug,Medium,App Crash,
2101,Bug,Medium,App Crash,
5945,Bug,Medium,App Crash,
5699,Bug,Medium,UI Glitch,
1251,Bug,Medium,Data Sync Error,
1376,Bug,Medium,UI Glitch,
5921,Bug,Medium,Data Sync Error,
3639,Bug,Medium,UI Glitch,
2719,Bug,Medium,App Crash,
676,Bug,Medium,UI Glitch,
2325,Bug,Medium,UI Glitch,
4928,Bug,Medium,UI Glitch,
4622,Bug,Medium,UI Glitch,
3415,Bug,Medium,App Crash,
1867,Bug,Medium,App Crash,
1027,Bug,Medium,App Crash,
1831,Bug,Medium,App Crash,
1191,Bug,Medium,UI Glitch,
3426,Bug,Medium,UI Glitch,
1079,Bug,Medium,Data Sync Error,
3808,Bug,Medium,UI Glitch,
4827,Bug,Medium,App Crash,
553,Bug,Medium,App Crash,
3441,Bug,Medium,UI Glitch,
3603,Bug,Medium,Data Sync Error,
4871,Bug,Medium,App Crash,
1486,Bug,Medium,UI Glitch,
4710,Bug,Medium,Data Sync Error,
227,Bug,Medium,App Crash,
4170,Bug,Medium,UI Glitch,
2516,Bug,Medium,Data Sync Error,
2688,Bug,Medium,Data Sync Error,
5873,Bug,Medium,UI Glitch,
215,Bug,Medium,UI Glitch,
4663,Bug,Medium,App Crash,
4620,Bug,Medium,App Crash,
2037,Bug,Medium,UI Glitch,
5522,Bug,Medium,UI Glitch,
5884,Bug,Medium,Data Sync Error,
5041,Bug,Medium,App Crash,
679,Bug,Medium,UI Glitch,
2289,Bug,Medium,App Crash,
5731,Bug,Medium,UI Glitch,
1215,Bug,Medium,UI Glitch,
3241,Bug,Medium,Data Sync Error,
5835,Bug,Medium,UI Glitch,
2056,Bug,Medium,UI Glitch,
1954,Bug,Medium,App Crash,
1627,Bug,Medium,UI Glitch,
67,Bug,Medium,UI Glitch,
3212,Bug,Medium,Data Sync Error,
2687,Bug,Medium,UI Glitch,
1040,Bug,Medium,UI Glitch,
4979,Bug,Medium,Data Sync Error,
3531,Bug,Medium,Data Sync Error,
2477,Bug,Medium,App Crash,
1670,Bug,Medium,App Crash,
1094,Bug,Medium,App Crash,
3356,Bug,Medium,UI Glitch,
2866,Bug,Medium,Data Sync Error,
3033,Bug,Medium,App Crash,
4647,Bug,Medium,UI Glitch,
3602,Bug,Medium,App Crash,
3249,Bug,Medium,UI Glitch,
1227,Bug,Medium,UI Glitch,
214,Bug,Medium,UI Glitch,
103,Bug,Medium,UI Glitch,
4092,Bug,Medium,App Crash,
2719,Bug,Medium,App Crash,
4903,Bug,Medium,Data Sync Error,
1712,Bug,Medium,Data Sync Error,
5135,Bug,Medium,UI Glitch,
130,Bug,Medium,UI Glitch,
5933,Bug,Medium,App Crash,
4951,Bug,Medium,App Crash,
233,Bug,Medium,UI Glitch,
2553,Bug,Medium,UI Glitch,
3918,Bug,Medium,UI Glitch,
1056,Bug,Medium,Data Sync Error,
2635,Bug,Medium,App Crash,
1206,Bug,Medium,UI Glitch,
3818,Bug,Medium,App Crash,
2319,Bug,Medium,UI Glitch,
5565,Bug,Medium,App Crash,
2109,Bug,Medium,App Crash,
2634,Bug,Medium,Data Sync Error,
4017,Bug,Medium,App Crash,
4465,Bug,Medium,Data Sync Error,
861,Bug,Medium,UI Glitch,
4481,Bug,Medium,App Crash,
5635,Bug,Medium,UI Glitch,
1739,Bug,Medium,UI Glitch,
463,Bug,Medium,App Crash,
5003,Bug,Medium,Data Sync Error,
2058,Bug,Medium,App Crash,
3087,Bug,Medium,Data Sync Error,
5822,Bug,Medium,UI Glitch,
3514,Bug,Medium,App Crash,
3518,Bug,Medium,UI Glitch,
1994,Bug,Medium,Data Sync Error,
4200,Bug,Medium,App Crash,
5343,Bug,Medium,Data Sync Error,
5527,Bug,Medium,UI Glitch,
2068,Bug,Medium,Data Sync Error,
3624,Bug,Medium,UI Glitch,
770,Bug,Medium,UI Glitch,
3670,Bug,Medium,UI Glitch,
3374,Bug,Medium,UI Glitch,
3370,Bug,Medium,UI Glitch,
3289,Bug,Medium,UI Glitch,
3868,Bug,Medium,App Crash,
3012,Bug,Medium,UI Glitch,
1018,Bug,Medium,App Crash,
4566,Bug,Medium,App Crash,
406,Bug,Medium,UI Glitch,
2256,Bug,Medium,UI Glitch,
857,Bug,Medium,UI Glitch,
4561,Bug,Medium,UI Glitch,
5742,Bug,Medium,Data Sync Error,
1079,Bug,Medium,App Crash,
2225,Bug,Medium,Data Sync Error,
1455,Bug,Medium,Data Sync Error,
3465,Bug,Medium,UI Glitch,
2895,Bug,Medium,UI Glitch,
255,Bug,Medium,App Crash,
1099,Bug,Medium,UI Glitch,
3222,Bug,Medium,App Crash,
3318,Bug,Medium,App Crash,
4684,Bug,Medium,Data Sync Error,
3081,Bug,Medium,UI Glitch,
4747,Bug,Medium,App Crash,
2690,Bug,Medium,UI Glitch,
