Issue_Type_ID,Issue_Category,Priority_Level,Issue_Subcategory_Corrected
913,Technical,Medium,Slow Performance
916,Technical,Medium,Website Error
935,Technical,Medium,Hardware Issue
938,Technical,Medium,Website Error
939,Technical,Medium,Slow Performance
966,Technical,Medium,Website Error
971,Technical,Medium,Website Error
974,Technical,Medium,Website Error
978,Technical,Medium,Slow Performance
983,Technical,Medium,Website Error
992,Technical,Medium,Slow Performance
1007,Technical,Medium,Slow Performance
1009,Technical,Medium,Slow Performance
1013,Technical,Medium,Website Error
1016,Technical,Medium,Hardware Issue
1020,Technical,Medium,Hardware Issue
1053,Technical,Medium,Website Error
1060,Technical,Medium,Slow Performance
1073,Technical,Medium,Hardware Issue
1103,Technical,Medium,Slow Performance
1106,Technical,Medium,Website Error
1116,Technical,Medium,Website Error
1120,Technical,Medium,Website Error
1141,Technical,Medium,Slow Performance
1161,Technical,Medium,Slow Performance
1177,Technical,Medium,Website Error
1182,Technical,Medium,Slow Performance
1187,Technical,Medium,Slow Performance
1192,Technical,Medium,Slow Performance
1214,Technical,Medium,Hardware Issue
1221,Technical,Medium,Hardware Issue
1247,Technical,Medium,Slow Performance
1249,Technical,Medium,Website Error
1279,Technical,Medium,Hardware Issue
1291,Technical,Medium,Website Error
1322,Technical,Medium,Slow Performance
1399,Technical,Medium,Website Error
1403,Technical,Medium,Website Error
1407,Technical,Medium,Slow Performance
1416,Technical,Medium,Slow Performance
1427,Technical,Medium,Website Error
1468,Technical,Medium,Hardware Issue
1490,Technical,Medium,Website Error
1491,Technical,Medium,Website Error
1496,Technical,Medium,Slow Performance
1498,Technical,Medium,Slow Performance
1509,Technical,Medium,Hardware Issue
1523,Technical,Medium,Slow Performance
1531,Technical,Medium,Website Error
1537,Technical,Medium,Website Error
1589,Technical,Medium,Website Error
1598,Technical,Medium,Slow Performance
1606,Technical,Medium,Slow Performance
1611,Technical,Medium,Slow Performance
1612,Technical,Medium,Slow Performance
1613,Technical,Medium,Slow Performance
1617,Technical,Medium,Website Error
1631,Technical,Medium,Website Error
1670,Technical,Medium,Slow Performance
1680,Technical,Medium,Website Error
1695,Technical,Medium,Hardware Issue
1708,Technical,Medium,Slow Performance
1741,Technical,Medium,Slow Performance
1782,Technical,Medium,Website Error
1783,Technical,Medium,Slow Performance
1791,Technical,Medium,Hardware Issue
1812,Technical,Medium,Slow Performance
1813,Technical,Medium,Slow Performance
1822,Technical,Medium,Website Error
1847,Technical,Medium,Hardware Issue
1862,Technical,Medium,Website Error
1877,Technical,Medium,Slow Performance
1887,Technical,Medium,Hardware Issue
1888,Technical,Medium,Website Error
1892,Technical,Medium,Slow Performance
1903,Technical,Medium,Website Error
1905,Technical,Medium,Website Error
1908,Technical,Medium,Slow Performance
1910,Technical,Medium,Slow Performance
1915,Technical,Medium,Hardware Issue
1924,Technical,Medium,Website Error
1931,Technical,Medium,Hardware Issue
1958,Technical,Medium,Website Error
1970,Technical,Medium,Slow Performance
1972,Technical,Medium,Slow Performance
1975,Technical,Medium,Slow Performance
1979,Technical,Medium,Website Error
1980,Technical,Medium,Hardware Issue
2016,Technical,Medium,Website Error
2027,Technical,Medium,Slow Performance
2029,Technical,Medium,Slow Performance
2034,Technical,Medium,Slow Performance
2052,Technical,Medium,Slow Performance
2071,Technical,Medium,Slow Performance
2088,Technical,Medium,Website Error
2094,Technical,Medium,Hardware Issue
2117,Technical,Medium,Website Error
2124,Technical,Medium,Website Error
2129,Technical,Medium,Slow Performance
2136,Technical,Medium,Slow Performance
2154,Technical,Medium,Slow Performance
2164,Technical,Medium,Hardware Issue
2169,Technical,Medium,Slow Performance
2171,Technical,Medium,Slow Performance
2174,Technical,Medium,Website Error
2183,Technical,Medium,Slow Performance
2190,Technical,Medium,Slow Performance
2203,Technical,Medium,Slow Performance
2219,Technical,Medium,Slow Performance
2232,Technical,Medium,Slow Performance
2237,Technical,Medium,Slow Performance
2248,Technical,Medium,Slow Performance
2250,Technical,Medium,Hardware Issue
2265,Technical,Medium,Hardware Issue
2278,Technical,Medium,Slow Performance
2294,Technical,Medium,Hardware Issue
2310,Technical,Medium,Slow Performance
2319,Technical,Medium,Hardware Issue
2339,Technical,Medium,Slow Performance
2343,Technical,Medium,Website Error
2347,Technical,Medium,Slow Performance
2371,Technical,Medium,Website Error
2382,Technical,Medium,Hardware Issue
2391,Technical,Medium,Slow Performance
2408,Technical,Medium,Hardware Issue
2417,Technical,Medium,Slow Performance
2450,Technical,Medium,Slow Performance
2462,Technical,Medium,Hardware Issue
2487,Technical,Medium,Slow Performance
2525,Technical,Medium,Slow Performance
2533,Technical,Medium,Slow Performance
2534,Technical,Medium,Slow Performance
2541,Technical,Medium,Hardware Issue
2545,Technical,Medium,Slow Performance
2558,Technical,Medium,Hardware Issue
2574,Technical,Medium,Slow Performance
2614,Technical,Medium,Website Error
2623,Technical,Medium,Slow Performance
2654,Technical,Medium,Slow Performance
2659,Technical,Medium,Slow Performance
2667,Technical,Medium,Slow Performance
2669,Technical,Medium,Website Error
2699,Technical,Medium,Slow Performance
2702,Technical,Medium,Hardware Issue
2716,Technical,Medium,Slow Performance
2723,Technical,Medium,Hardware Issue
2727,Technical,Medium,Slow Performance
2736,Technical,Medium,Website Error
2739,Technical,Medium,Website Error
2741,Technical,Medium,Slow Performance
2750,Technical,Medium,Slow Performance
2759,Technical,Medium,Hardware Issue
2768,Technical,Medium,Slow Performance
2788,Technical,Medium,Slow Performance
2789,Technical,Medium,Slow Performance
2798,Technical,Medium,Slow Performance
2799,Technical,Medium,Slow Performance
2800,Technical,Medium,Slow Performance
2815,Technical,Medium,Hardware Issue
2835,Technical,Medium,Slow Performance
2842,Technical,Medium,Website Error
2845,Technical,Medium,Hardware Issue
2864,Technical,Medium,Slow Performance
2870,Technical,Medium,Slow Performance
2896,Technical,Medium,Slow Performance
2925,Technical,Medium,Slow Performance
2983,Technical,Medium,Slow Performance
2987,Technical,Medium,Slow Performance
3001,Technical,Medium,Hardware Issue
3010,Technical,Medium,Slow Performance
3021,Technical,Medium,Hardware Issue
3027,Technical,Medium,Website Error
3040,Technical,Medium,Slow Performance
3061,Technical,Medium,Hardware Issue
3069,Technical,Medium,Slow Performance
3123,Technical,Medium,Website Error
3136,Technical,Medium,Slow Performance
3149,Technical,Medium,Slow Performance
3161,Technical,Medium,Website Error
3166,Technical,Medium,Website Error
3207,Technical,Medium,Hardware Issue
3216,Technical,Medium,Website Error
3236,Technical,Medium,Website Error
3252,Technical,Medium,Hardware Issue
3264,Technical,Medium,Slow Performance
3290,Technical,Medium,Hardware Issue
3293,Technical,Medium,Slow Performance
3318,Technical,Medium,Slow Performance
3331,Technical,Medium,Slow Performance
3366,Technical,Medium,Website Error
3409,Technical,Medium,Website Error
3412,Technical,Medium,Website Error
3422,Technical,Medium,Slow Performance
3445,Technical,Medium,Website Error
3459,Technical,Medium,Website Error
3464,Technical,Medium,Slow Performance
3494,Technical,Medium,Website Error
3495,Technical,Medium,Website Error
3524,Technical,Medium,Slow Performance
3527,Technical,Medium,Hardware Issue
3544,Technical,Medium,Slow Performance
3545,Technical,Medium,Slow Performance
3553,Technical,Medium,Website Error
3565,Technical,Medium,Slow Performance
3589,Technical,Medium,Slow Performance
3601,Technical,Medium,Website Error
3609,Technical,Medium,Slow Performance
3623,Technical,Medium,Slow Performance
3627,Technical,Medium,Website Error
3633,Technical,Medium,Hardware Issue
3644,Technical,Medium,Slow Performance
3645,Technical,Medium,Slow Performance
3646,Technical,Medium,Slow Performance
3648,Technical,Medium,Hardware Issue
3688,Technical,Medium,Slow Performance
3698,Technical,Medium,Slow Performance
3709,Technical,Medium,Slow Performance
3716,Technical,Medium,Slow Performance
3730,Technical,Medium,Hardware Issue
3745,Technical,Medium,Slow Performance
3748,Technical,Medium,Website Error
3775,Technical,Medium,Slow Performance
3799,Technical,Medium,Slow Performance
3804,Technical,Medium,Website Error
3817,Technical,Medium,Website Error
3858,Technical,Medium,Hardware Issue
3875,Technical,Medium,Website Error
3876,Technical,Medium,Hardware Issue
3892,Technical,Medium,Slow Performance
3896,Technical,Medium,Website Error
3921,Technical,Medium,Website Error
3931,Technical,Medium,Hardware Issue
3944,Technical,Medium,Website Error
3950,Technical,Medium,Website Error
3955,Technical,Medium,Slow Performance
3956,Technical,Medium,Hardware Issue
3959,Technical,Medium,Slow Performance
3976,Technical,Medium,Website Error
3979,Technical,Medium,Hardware Issue
3980,Technical,Medium,Website Error
3981,Technical,Medium,Slow Performance
4006,Technical,Medium,Website Error
4007,Technical,Medium,Slow Performance
4008,Technical,Medium,Hardware Issue
4016,Technical,Medium,Slow Performance
4046,Technical,Medium,Slow Performance
4057,Technical,Medium,Hardware Issue
4080,Technical,Medium,Website Error
4088,Technical,Medium,Hardware Issue
4095,Technical,Medium,Slow Performance
4107,Technical,Medium,Slow Performance
4121,Technical,Medium,Hardware Issue
4177,Technical,Medium,Website Error
4200,Technical,Medium,Website Error
4237,Technical,Medium,Hardware Issue
4244,Technical,Medium,Hardware Issue
4281,Technical,Medium,Website Error
4282,Technical,Medium,Slow Performance
4295,Technical,Medium,Slow Performance
4318,Technical,Medium,Hardware Issue
4336,Technical,Medium,Hardware Issue
4338,Technical,Medium,Hardware Issue
4354,Technical,Medium,Slow Performance
4359,Technical,Medium,Slow Performance
4370,Technical,Medium,Hardware Issue
4401,Technical,Medium,Website Error
4412,Technical,Medium,Website Error
4414,Technical,Medium,Website Error
4422,Technical,Medium,Website Error
4427,Technical,Medium,Hardware Issue
4430,Technical,Medium,Slow Performance
4438,Technical,Medium,Slow Performance
4448,Technical,Medium,Slow Performance
4451,Technical,Medium,Slow Performance
4454,Technical,Medium,Hardware Issue
4471,Technical,Medium,Hardware Issue
4482,Technical,Medium,Slow Performance
4483,Technical,Medium,Website Error
4484,Technical,Medium,Slow Performance
4503,Technical,Medium,Slow Performance
4507,Technical,Medium,Slow Performance
4514,Technical,Medium,Hardware Issue
4561,Technical,Medium,Hardware Issue
4611,Technical,Medium,Slow Performance
4623,Technical,Medium,Website Error
4641,Technical,Medium,Website Error
4647,Technical,Medium,Website Error
4673,Technical,Medium,Hardware Issue
4722,Technical,Medium,Hardware Issue
4730,Technical,Medium,Slow Performance
4756,Technical,Medium,Website Error
4757,Technical,Medium,Hardware Issue
4774,Technical,Medium,Website Error
4781,Technical,Medium,Website Error
4797,Technical,Medium,Slow Performance
4809,Technical,Medium,Website Error
4821,Technical,Medium,Hardware Issue
4839,Technical,Medium,Hardware Issue
4844,Technical,Medium,Website Error
4856,Technical,Medium,Hardware Issue
4858,Technical,Medium,Hardware Issue
4880,Technical,Medium,Hardware Issue
4884,Technical,Medium,Website Error
4888,Technical,Medium,Website Error
4890,Technical,Medium,Website Error
4893,Technical,Medium,Slow Performance
4901,Technical,Medium,Website Error
4946,Technical,Medium,Slow Performance
4947,Technical,Medium,Slow Performance
4950,Technical,Medium,Website Error
4951,Technical,Medium,Hardware Issue
4958,Technical,Medium,Slow Performance
4998,Technical,Medium,Website Error
5002,Technical,Medium,Website Error
5016,Technical,Medium,Slow Performance
5041,Technical,Medium,Website Error
5085,Technical,Medium,Website Error
5086,Technical,Medium,Website Error
5094,Technical,Medium,Slow Performance
5133,Technical,Medium,Hardware Issue
5166,Technical,Medium,Slow Performance
5205,Technical,Medium,Hardware Issue
5217,Technical,Medium,Slow Performance
5272,Technical,Medium,Slow Performance
5280,Technical,Medium,Website Error
5281,Technical,Medium,Website Error
5331,Technical,Medium,Slow Performance
5343,Technical,Medium,Website Error
5352,Technical,Medium,Website Error
5367,Technical,Medium,Slow Performance
5391,Technical,Medium,Website Error
5405,Technical,Medium,Slow Performance
5413,Technical,Medium,Slow Performance
5437,Technical,Medium,Website Error
5450,Technical,Medium,Slow Performance
5454,Technical,Medium,Website Error
5459,Technical,Medium,Slow Performance
5522,Technical,Medium,Slow Performance
5525,Technical,Medium,Website Error
5530,Technical,Medium,Website Error
5548,Technical,Medium,Hardware Issue
5559,Technical,Medium,Slow Performance
5584,Technical,Medium,Website Error
5585,Technical,Medium,Slow Performance
5636,Technical,Medium,Slow Performance
5669,Technical,Medium,Slow Performance
5672,Technical,Medium,Website Error
5677,Technical,Medium,Hardware Issue
5680,Technical,Medium,Website Error
5708,Technical,Medium,Slow Performance
5721,Technical,Medium,Slow Performance
5750,Technical,Medium,Website Error
5752,Technical,Medium,Slow Performance
5756,Technical,Medium,Hardware Issue
5768,Technical,Medium,Slow Performance
5769,Technical,Medium,Website Error
5789,Technical,Medium,Slow Performance
5801,Technical,Medium,Slow Performance
5811,Technical,Medium,Website Error
5830,Technical,Medium,Slow Performance
5831,Technical,Medium,Website Error
5883,Technical,Medium,Slow Performance
5932,Technical,Medium,Slow Performance
5943,Technical,Medium,Slow Performance
5956,Technical,Medium,Slow Performance
5975,Technical,Medium,Hardware Issue
5979,Technical,Medium,Slow Performance
5989,Technical,Medium,Slow Performance
5997,Technical,Medium,Website Error
1,Bug,Medium,UI Glitch
32,Bug,Medium,UI Glitch
57,Bug,Medium,UI Glitch
59,Bug,Medium,Data Sync Error
64,Bug,Medium,UI Glitch
78,Bug,Medium,UI Glitch
81,Bug,Medium,Data Sync Error
125,Bug,Medium,Data Sync Error
162,Bug,Medium,Data Sync Error
177,Bug,Medium,App Crash
184,Bug,Medium,App Crash
217,Bug,Medium,UI Glitch
220,Bug,Medium,UI Glitch
237,Bug,Medium,App Crash
243,Bug,Medium,UI Glitch
246,Bug,Medium,App Crash
250,Bug,Medium,UI Glitch
276,Bug,Medium,Data Sync Error
280,Bug,Medium,UI Glitch
285,Bug,Medium,UI Glitch
291,Bug,Medium,UI Glitch
294,Bug,Medium,UI Glitch
321,Bug,Medium,UI Glitch
324,Bug,Medium,UI Glitch
328,Bug,Medium,App Crash
332,Bug,Medium,Data Sync Error
333,Bug,Medium,Data Sync Error
347,Bug,Medium,App Crash
357,Bug,Medium,UI Glitch
366,Bug,Medium,UI Glitch
403,Bug,Medium,UI Glitch
417,Bug,Medium,UI Glitch
438,Bug,Medium,App Crash
441,Bug,Medium,Data Sync Error
471,Bug,Medium,App Crash
491,Bug,Medium,App Crash
496,Bug,Medium,UI Glitch
522,Bug,Medium,UI Glitch
530,Bug,Medium,App Crash
542,Bug,Medium,UI Glitch
597,Bug,Medium,UI Glitch
599,Bug,Medium,Data Sync Error
622,Bug,Medium,UI Glitch
632,Bug,Medium,App Crash
638,Bug,Medium,UI Glitch
643,Bug,Medium,UI Glitch
659,Bug,Medium,UI Glitch
670,Bug,Medium,UI Glitch
679,Bug,Medium,Data Sync Error
690,Bug,Medium,UI Glitch
726,Bug,Medium,App Crash
730,Bug,Medium,UI Glitch
734,Bug,Medium,UI Glitch
749,Bug,Medium,App Crash
750,Bug,Medium,App Crash
757,Bug,Medium,UI Glitch
762,Bug,Medium,App Crash
803,Bug,Medium,UI Glitch
810,Bug,Medium,App Crash
826,Bug,Medium,UI Glitch
838,Bug,Medium,UI Glitch
877,Bug,Medium,UI Glitch
903,Bug,Medium,UI Glitch
915,Bug,Medium,App Crash
921,Bug,Medium,UI Glitch
924,Bug,Medium,App Crash
954,Bug,Medium,Data Sync Error
961,Bug,Medium,App Crash
965,Bug,Medium,UI Glitch
973,Bug,Medium,Data Sync Error
1027,Bug,Medium,App Crash
1038,Bug,Medium,UI Glitch
1046,Bug,Medium,UI Glitch
1072,Bug,Medium,App Crash
1079,Bug,Medium,Data Sync Error
1080,Bug,Medium,Data Sync Error
1083,Bug,Medium,Data Sync Error
1089,Bug,Medium,UI Glitch
1098,Bug,Medium,App Crash
1108,Bug,Medium,Data Sync Error
1109,Bug,Medium,App Crash
1114,Bug,Medium,UI Glitch
1117,Bug,Medium,UI Glitch
1126,Bug,Medium,UI Glitch
1144,Bug,Medium,UI Glitch
1164,Bug,Medium,App Crash
1200,Bug,Medium,UI Glitch
1201,Bug,Medium,UI Glitch
1213,Bug,Medium,App Crash
1219,Bug,Medium,UI Glitch
1226,Bug,Medium,App Crash
1236,Bug,Medium,Data Sync Error
1266,Bug,Medium,App Crash
1278,Bug,Medium,UI Glitch
1284,Bug,Medium,UI Glitch
1300,Bug,Medium,Data Sync Error
1301,Bug,Medium,Data Sync Error
1308,Bug,Medium,App Crash
1313,Bug,Medium,UI Glitch
1357,Bug,Medium,Data Sync Error
1381,Bug,Medium,UI Glitch
1382,Bug,Medium,UI Glitch
1424,Bug,Medium,UI Glitch
1430,Bug,Medium,Data Sync Error
1452,Bug,Medium,UI Glitch
1493,Bug,Medium,UI Glitch
1500,Bug,Medium,App Crash
1506,Bug,Medium,App Crash
1507,Bug,Medium,UI Glitch
1522,Bug,Medium,UI Glitch
1546,Bug,Medium,UI Glitch
1566,Bug,Medium,UI Glitch
1577,Bug,Medium,UI Glitch
1644,Bug,Medium,UI Glitch
1651,Bug,Medium,UI Glitch
1654,Bug,Medium,Data Sync Error
1662,Bug,Medium,Data Sync Error
1672,Bug,Medium,App Crash
1678,Bug,Medium,UI Glitch
1681,Bug,Medium,Data Sync Error
1689,Bug,Medium,UI Glitch
1693,Bug,Medium,App Crash
1699,Bug,Medium,App Crash
1706,Bug,Medium,UI Glitch
1714,Bug,Medium,UI Glitch
1715,Bug,Medium,UI Glitch
1721,Bug,Medium,App Crash
1739,Bug,Medium,UI Glitch
1768,Bug,Medium,UI Glitch
1771,Bug,Medium,UI Glitch
1799,Bug,Medium,UI Glitch
1819,Bug,Medium,App Crash
1823,Bug,Medium,UI Glitch
1871,Bug,Medium,UI Glitch
1882,Bug,Medium,Data Sync Error
1911,Bug,Medium,App Crash
1935,Bug,Medium,UI Glitch
1949,Bug,Medium,UI Glitch
1952,Bug,Medium,UI Glitch
1973,Bug,Medium,UI Glitch
1991,Bug,Medium,UI Glitch
2021,Bug,Medium,UI Glitch
2028,Bug,Medium,Data Sync Error
2050,Bug,Medium,Data Sync Error
2060,Bug,Medium,UI Glitch
2072,Bug,Medium,UI Glitch
2081,Bug,Medium,App Crash
2086,Bug,Medium,Data Sync Error
2118,Bug,Medium,App Crash
2134,Bug,Medium,App Crash
2135,Bug,Medium,UI Glitch
2139,Bug,Medium,UI Glitch
2140,Bug,Medium,UI Glitch
2148,Bug,Medium,App Crash
2175,Bug,Medium,App Crash
2187,Bug,Medium,UI Glitch
2194,Bug,Medium,UI Glitch
2198,Bug,Medium,App Crash
2217,Bug,Medium,UI Glitch
2238,Bug,Medium,App Crash
2257,Bug,Medium,UI Glitch
2300,Bug,Medium,Data Sync Error
2317,Bug,Medium,UI Glitch
2321,Bug,Medium,Data Sync Error
2327,Bug,Medium,App Crash
2329,Bug,Medium,UI Glitch
2372,Bug,Medium,Data Sync Error
2373,Bug,Medium,Data Sync Error
2377,Bug,Medium,App Crash
2392,Bug,Medium,App Crash
2436,Bug,Medium,UI Glitch
2444,Bug,Medium,UI Glitch
2452,Bug,Medium,Data Sync Error
2457,Bug,Medium,App Crash
2458,Bug,Medium,App Crash
2460,Bug,Medium,Data Sync Error
2469,Bug,Medium,UI Glitch
2470,Bug,Medium,UI Glitch
2473,Bug,Medium,UI Glitch
2492,Bug,Medium,App Crash
2520,Bug,Medium,UI Glitch
2542,Bug,Medium,UI Glitch
2552,Bug,Medium,App Crash
2563,Bug,Medium,App Crash
2583,Bug,Medium,UI Glitch
2584,Bug,Medium,UI Glitch
2585,Bug,Medium,UI Glitch
2586,Bug,Medium,Data Sync Error
2600,Bug,Medium,App Crash
2615,Bug,Medium,App Crash
2633,Bug,Medium,App Crash
2681,Bug,Medium,UI Glitch
2682,Bug,Medium,Data Sync Error
2695,Bug,Medium,UI Glitch
2710,Bug,Medium,Data Sync Error
2728,Bug,Medium,UI Glitch
2769,Bug,Medium,App Crash
2776,Bug,Medium,UI Glitch
2780,Bug,Medium,UI Glitch
2786,Bug,Medium,UI Glitch
2817,Bug,Medium,UI Glitch
2823,Bug,Medium,App Crash
2825,Bug,Medium,App Crash
2834,Bug,Medium,App Crash
2844,Bug,Medium,App Crash
2854,Bug,Medium,UI Glitch
2855,Bug,Medium,UI Glitch
2857,Bug,Medium,Data Sync Error
2858,Bug,Medium,UI Glitch
2905,Bug,Medium,App Crash
2906,Bug,Medium,App Crash
2961,Bug,Medium,UI Glitch
2963,Bug,Medium,Data Sync Error
3030,Bug,Medium,App Crash
3047,Bug,Medium,UI Glitch
3079,Bug,Medium,Data Sync Error
3091,Bug,Medium,App Crash
3094,Bug,Medium,UI Glitch
3097,Bug,Medium,Data Sync Error
3112,Bug,Medium,Data Sync Error
3129,Bug,Medium,UI Glitch
3130,Bug,Medium,UI Glitch
3131,Bug,Medium,App Crash
3159,Bug,Medium,App Crash
3168,Bug,Medium,UI Glitch
3184,Bug,Medium,UI Glitch
3208,Bug,Medium,Data Sync Error
3226,Bug,Medium,App Crash
3251,Bug,Medium,UI Glitch
3257,Bug,Medium,App Crash
3263,Bug,Medium,UI Glitch
3275,Bug,Medium,UI Glitch
3278,Bug,Medium,Data Sync Error
3283,Bug,Medium,UI Glitch
3294,Bug,Medium,UI Glitch
3295,Bug,Medium,App Crash
3306,Bug,Medium,UI Glitch
3325,Bug,Medium,UI Glitch
3329,Bug,Medium,Data Sync Error
3338,Bug,Medium,UI Glitch
3356,Bug,Medium,UI Glitch
3379,Bug,Medium,Data Sync Error
3398,Bug,Medium,Data Sync Error
3421,Bug,Medium,App Crash
3425,Bug,Medium,App Crash
3432,Bug,Medium,App Crash
3437,Bug,Medium,UI Glitch
3441,Bug,Medium,Data Sync Error
3455,Bug,Medium,App Crash
3462,Bug,Medium,UI Glitch
3468,Bug,Medium,App Crash
3470,Bug,Medium,UI Glitch
3479,Bug,Medium,UI Glitch
3487,Bug,Medium,UI Glitch
3493,Bug,Medium,UI Glitch
3504,Bug,Medium,App Crash
3536,Bug,Medium,App Crash
3538,Bug,Medium,Data Sync Error
3560,Bug,Medium,Data Sync Error
3569,Bug,Medium,UI Glitch
3581,Bug,Medium,UI Glitch
3592,Bug,Medium,App Crash
3598,Bug,Medium,App Crash
3631,Bug,Medium,UI Glitch
3636,Bug,Medium,UI Glitch
3666,Bug,Medium,UI Glitch
3673,Bug,Medium,Data Sync Error
3740,Bug,Medium,App Crash
3766,Bug,Medium,UI Glitch
3770,Bug,Medium,App Crash
3773,Bug,Medium,UI Glitch
3774,Bug,Medium,App Crash
3802,Bug,Medium,App Crash
3803,Bug,Medium,Data Sync Error
3831,Bug,Medium,App Crash
3835,Bug,Medium,Data Sync Error
3862,Bug,Medium,UI Glitch
3918,Bug,Medium,App Crash
3924,Bug,Medium,UI Glitch
3928,Bug,Medium,UI Glitch
3973,Bug,Medium,App Crash
3975,Bug,Medium,Data Sync Error
3987,Bug,Medium,App Crash
3999,Bug,Medium,Data Sync Error
4003,Bug,Medium,UI Glitch
4032,Bug,Medium,App Crash
4041,Bug,Medium,UI Glitch
4056,Bug,Medium,Data Sync Error
4110,Bug,Medium,App Crash
4114,Bug,Medium,Data Sync Error
4123,Bug,Medium,UI Glitch
4128,Bug,Medium,Data Sync Error
4135,Bug,Medium,UI Glitch
4137,Bug,Medium,UI Glitch
4145,Bug,Medium,UI Glitch
4176,Bug,Medium,UI Glitch
4178,Bug,Medium,UI Glitch
4179,Bug,Medium,UI Glitch
4183,Bug,Medium,App Crash
4209,Bug,Medium,UI Glitch
4210,Bug,Medium,App Crash
4211,Bug,Medium,App Crash
4235,Bug,Medium,UI Glitch
4240,Bug,Medium,UI Glitch
4242,Bug,Medium,UI Glitch
4263,Bug,Medium,UI Glitch
4270,Bug,Medium,Data Sync Error
4272,Bug,Medium,App Crash
4323,Bug,Medium,Data Sync Error
4340,Bug,Medium,Data Sync Error
4341,Bug,Medium,UI Glitch
4353,Bug,Medium,UI Glitch
4373,Bug,Medium,App Crash
4381,Bug,Medium,UI Glitch
4388,Bug,Medium,App Crash
4397,Bug,Medium,App Crash
4399,Bug,Medium,Data Sync Error
4407,Bug,Medium,UI Glitch
4408,Bug,Medium,App Crash
4416,Bug,Medium,UI Glitch
4431,Bug,Medium,App Crash
4441,Bug,Medium,App Crash
4446,Bug,Medium,UI Glitch
4447,Bug,Medium,UI Glitch
4458,Bug,Medium,UI Glitch
4474,Bug,Medium,UI Glitch
4500,Bug,Medium,UI Glitch
4522,Bug,Medium,UI Glitch
4534,Bug,Medium,App Crash
4538,Bug,Medium,UI Glitch
4557,Bug,Medium,UI Glitch
4585,Bug,Medium,App Crash
4594,Bug,Medium,UI Glitch
4614,Bug,Medium,UI Glitch
4628,Bug,Medium,App Crash
4652,Bug,Medium,App Crash
4654,Bug,Medium,UI Glitch
4663,Bug,Medium,UI Glitch
4668,Bug,Medium,Data Sync Error
4686,Bug,Medium,UI Glitch
4689,Bug,Medium,UI Glitch
4696,Bug,Medium,UI Glitch
4706,Bug,Medium,Data Sync Error
4762,Bug,Medium,UI Glitch
4770,Bug,Medium,UI Glitch
4778,Bug,Medium,UI Glitch
4813,Bug,Medium,App Crash
4815,Bug,Medium,UI Glitch
4837,Bug,Medium,UI Glitch
4846,Bug,Medium,App Crash
4895,Bug,Medium,Data Sync Error
4910,Bug,Medium,UI Glitch
4914,Bug,Medium,Data Sync Error
4941,Bug,Medium,Data Sync Error
4976,Bug,Medium,App Crash
4987,Bug,Medium,Data Sync Error
4995,Bug,Medium,App Crash
5012,Bug,Medium,Data Sync Error
5033,Bug,Medium,UI Glitch
5080,Bug,Medium,UI Glitch
5087,Bug,Medium,UI Glitch
5088,Bug,Medium,UI Glitch
5110,Bug,Medium,App Crash
5143,Bug,Medium,App Crash
5147,Bug,Medium,UI Glitch
