Ticket_ID,Date_Key,Agent_ID,Customer_ID,Channel_ID,Department_ID,Issue_Type_ID,Status_ID,Shift_ID,Satisfaction_ID,First_Response_Time,Handle_Time,Resolution_Time,First_Call_Resolution,Escalation_Flag,Transfer_Count,Reopen_Count,SLA_Breached,Agent_Utilization,Occupancy_Rate,IssueID
1031,88,A-30,8724,3519,5266,3966,539,3280,659,50,93,28,1,0,0,1,0,64.23,86.09,34
1788,104,A-12,5957,2561,4156,4023,5525,4673,90,48,98,39,1,0,0,1,0,64.99,93.22,6
555,128,A-33,1906,4094,3366,1800,3473,5571,5727,3,114,16,1,0,0,1,0,67.49,63.04,29
3782,133,A-39,6955,3171,771,3910,4177,5246,1340,48,58,17,1,0,0,1,0,63.47,94.99,2
3939,135,A-24,2091,2017,4188,5957,2940,3572,2067,3,55,37,1,0,0,1,0,92.78,93.6,10
3222,143,A-40,7441,4798,5568,1879,2493,3956,3516,22,19,23,1,0,0,1,0,88.74,76.83,14
349,147,A-21,4814,531,3528,5526,3870,3987,2847,32,108,24,1,0,0,1,0,63.22,75.03,3
5576,154,A-11,852,3765,836,646,3368,4726,5161,34,83,29,1,0,0,1,0,91.44,77.96,37
6833,169,A-11,4690,956,3799,2052,1146,375,3561,58,68,22,1,0,0,1,0,75.71,91.82,13
3851,176,A-15,7629,4383,3941,4150,5552,2109,5493,39,5,17,1,0,0,1,0,60.67,93.32,47
2181,182,A-44,6465,3113,1845,5546,1428,2982,2012,22,100,35,1,0,0,1,0,75.91,80.07,40
765,191,A-36,7021,2472,4995,1402,1095,2804,499,14,30,44,1,0,0,1,0,69.49,64.54,3
8783,191,A-45,4525,2599,1629,2015,2304,5937,5542,41,60,35,1,0,0,1,0,74.6,77.03,47
3674,206,A-30,5420,1734,3387,4766,5812,437,5660,2,55,13,1,0,0,1,0,76.85,75.47,50
1849,206,A-32,3218,2254,3254,3507,41,3625,1588,1,32,30,1,0,0,1,0,86.49,80.71,45
1035,209,A-41,7099,2543,2488,496,4028,3361,261,24,45,57,1,0,0,1,0,91.09,84.04,2
7649,210,A-29,8098,2406,1540,5837,3224,1668,2946,56,94,42,1,0,0,1,0,91.49,91.46,6
7417,211,A-49,5915,178,4494,873,580,824,430,26,33,36,1,0,0,1,0,76.02,86.54,22
5122,218,A-49,7917,2847,984,1872,59,914,756,14,75,18,1,0,0,1,0,60.09,65,39
7774,219,A-42,4395,2887,5180,4415,5967,5287,6301,10,44,34,1,0,0,1,0,83.83,62.86,40
2489,223,A-40,1129,2677,3185,1069,5821,1389,913,27,96,45,1,0,0,1,0,82.44,64.8,15
6953,225,A-5,6760,2224,4928,4291,5885,1626,5777,56,18,48,1,0,0,1,0,65.86,62.42,51
3529,238,A-15,3056,5063,4641,806,4813,2066,6995,56,79,54,1,0,0,1,0,79.6,73.89,50
2572,243,A-18,3791,4138,1843,2802,3414,5765,180,30,18,55,1,0,0,1,0,84.08,90.01,18
1365,244,A-1,4905,4834,5207,1504,3106,373,690,58,69,57,1,0,0,1,0,72.45,82.4,51
954,245,A-29,5142,4683,1171,2134,5270,4055,3307,47,61,47,1,0,0,1,0,80.34,87.73,13
7496,246,A-31,2132,2420,5888,2119,3102,1353,1111,50,7,15,1,0,0,1,0,75.07,90.86,29
8843,253,A-48,6954,5829,3911,3189,2243,822,2818,34,90,21,1,0,0,1,0,93.37,73.73,45
1829,257,A-39,4236,5821,4197,4634,5406,4144,3453,14,59,39,1,0,0,1,0,72.5,87.93,3
7391,259,A-49,3255,5275,3367,147,5627,1754,2608,33,51,29,1,0,0,1,0,63.53,61.15,3
5603,263,A-26,6743,1535,1953,5370,3883,10,1460,23,52,40,1,0,0,1,0,64.01,83.99,34
4502,269,A-21,5060,2630,4919,2330,3706,867,6816,2,94,45,1,0,0,1,0,65.03,90.93,20
9667,270,A-14,1762,3887,4151,2174,3235,601,4709,26,71,12,1,0,0,1,0,60.76,93.78,25
1126,292,A-24,7792,3498,1035,1356,3798,2498,1775,49,65,21,1,0,0,1,0,67.15,89.24,13
1059,296,A-22,3868,3349,580,3271,4441,4606,607,15,69,30,1,0,0,1,0,66.52,91.05,48
4941,297,A-8,2796,3946,4071,5612,2405,4612,6574,49,110,30,1,0,0,1,0,64.77,76.93,43
267,301,A-8,3433,4964,5495,1531,896,4889,5000,21,66,42,1,0,0,1,0,94.84,61.1,38
8280,307,A-29,5654,4797,3146,3321,5326,2560,5841,49,85,47,1,0,0,1,0,88.81,83.75,49
4467,307,A-24,229,3333,3494,5051,847,151,1894,45,96,12,1,0,0,1,0,77.56,67.95,29
5443,327,A-32,6636,4536,5114,5945,2450,1132,1493,37,119,42,1,0,0,1,0,92.83,61.62,46
3919,327,A-32,3588,361,3267,5699,2437,1680,4075,8,34,56,1,0,0,1,0,63.31,60.17,18
615,328,A-32,3626,4567,4640,5921,2096,5644,4176,22,36,59,1,0,0,1,0,78.79,80.05,17
291,346,A-8,1747,1820,4898,67,1948,2008,5097,35,59,52,1,0,0,1,0,67.77,84.27,47
1614,359,A-17,6023,5539,371,130,5197,4377,6961,28,36,49,1,0,0,1,0,87.99,92.52,43
9926,360,A-43,6076,124,5904,233,2695,4257,536,37,27,56,1,0,0,1,0,70.5,69.1,37
821,365,A-10,6383,3360,702,5003,2687,5835,3276,21,9,11,1,0,0,1,0,85.97,68.02,35
945,367,A-18,3615,5091,621,3514,68,2828,4945,39,19,51,1,0,0,1,0,77.6,64.53,27
6390,379,A-26,4022,2488,2815,3465,5132,3636,5633,38,30,37,1,0,0,1,0,90.02,85.12,34
1723,384,A-14,5637,4058,1592,4747,323,5614,6387,21,61,29,1,0,0,1,0,81.59,94.18,35
1984,385,A-1,3311,3197,4209,2690,1959,533,4150,52,93,54,1,0,0,1,0,66.8,75.04,3
4464,405,A-39,3281,207,24,3553,4621,5843,6046,9,69,43,1,0,0,1,0,71.54,85.83,13
6243,409,A-19,493,352,3427,5702,1057,355,3644,5,106,59,1,0,0,1,0,68.95,78.65,48
9576,410,A-21,6301,2115,799,1615,532,2224,1130,56,68,58,1,0,0,1,0,60.89,66.08,6
2991,413,A-23,25,3667,342,2031,5433,3673,4284,12,25,21,1,0,0,1,0,60.18,66.82,16
6966,429,A-18,2163,394,4230,1866,4154,2564,1781,41,32,13,1,0,0,1,0,68.98,75.83,39
415,435,A-25,318,5085,759,1080,3608,4039,3308,5,108,37,1,0,0,1,0,64.29,82.96,1
3867,449,A-16,7628,1573,3212,214,5412,1194,6725,9,48,52,1,0,0,1,0,90.38,91.74,6
7581,454,A-33,6935,5258,3532,5386,5154,2981,2150,27,111,32,1,0,0,1,0,72.52,87,50
8037,464,A-34,695,5234,2936,1762,2974,3448,5740,18,76,30,1,0,0,1,0,60.23,64.43,48
5572,466,A-33,672,4146,682,2314,2244,767,1715,50,113,48,1,0,0,1,0,85.83,84.77,3
5327,483,A-10,5843,2375,2082,1617,5482,5564,622,6,29,14,1,0,0,1,0,63.4,88.95,2
1108,509,A-32,8070,4913,5104,453,5061,5317,4255,36,10,20,1,0,0,1,0,85.17,74.25,4
8928,511,A-4,6216,4375,3077,5733,4187,3177,2464,55,73,17,1,0,0,1,0,81.55,65.78,36
1474,520,A-33,5100,4493,2845,3988,588,746,4837,10,80,26,1,0,0,1,0,67.17,88.05,38
5134,522,A-42,1489,4219,5814,5613,594,4522,87,8,27,49,1,0,0,1,0,71.37,61.84,7
1787,523,A-33,2925,3843,1660,4489,738,1850,5549,14,107,16,1,0,0,1,0,64.62,75.41,8
8823,537,A-22,5945,5574,5266,4112,1583,3463,3002,5,37,19,1,0,0,1,0,75.44,66.94,18
1619,552,A-42,4595,4121,2008,1619,5568,2873,4558,4,57,14,1,0,0,1,0,84.71,94.47,28
298,560,A-50,4176,663,4949,270,1221,2526,2589,4,27,11,1,0,0,1,0,77.27,72.5,36
9585,575,A-11,6596,5841,481,1922,2768,3714,6093,52,83,56,1,0,0,1,0,80.44,86.34,11
5699,604,A-31,2664,1477,91,1837,3905,1595,6380,54,20,34,1,0,0,1,0,74.54,74.09,22
8421,621,A-1,8535,3990,2787,5812,5339,4794,6327,34,12,12,1,0,0,1,0,90.16,69.76,7
9996,629,A-19,8220,824,2041,3431,135,4636,3681,40,83,27,1,0,0,1,0,78.28,74.92,43
2313,643,A-35,7211,1469,58,4381,4566,291,6768,3,75,27,1,0,0,1,0,93.34,87.36,4
6080,652,A-26,7568,3425,511,2973,3914,1282,1260,2,20,57,1,0,0,1,0,83.49,69.28,47
4305,654,A-19,4783,2156,401,4043,3715,5193,1231,7,56,39,1,0,0,1,0,85.01,83.27,16
7317,694,A-10,5535,5681,696,1384,5880,1272,6660,20,107,57,1,0,0,1,0,74.88,71.32,5
5063,703,A-10,3153,3335,2164,294,2586,5293,1541,1,19,40,1,0,0,1,0,70.79,86.78,18
8393,708,A-29,5421,3335,3935,5534,311,1953,387,25,106,31,1,0,0,1,0,67.9,73.25,18
6974,710,A-8,8629,2265,4088,3860,4883,5994,3680,30,64,33,1,0,0,1,0,64.13,90.02,32
7831,711,A-13,4282,2554,1550,738,1983,2385,6136,22,27,40,1,0,0,1,0,90.43,93.57,50
884,712,A-13,1477,925,330,5773,1313,5601,1770,46,82,43,1,0,0,1,0,82.72,82.14,14
5008,720,A-46,8053,4481,3053,1876,3006,366,6371,58,71,35,1,0,0,1,0,80.99,60.57,29
3629,722,A-39,284,1907,5844,5818,3481,4336,5181,16,82,25,1,0,0,1,0,73.71,75.86,35
339,722,A-15,6014,3070,4186,4833,5207,2053,4703,14,60,51,1,0,0,1,0,78.99,94.04,30
3673,738,A-2,551,1149,1660,2079,1562,2151,2562,41,40,13,1,0,0,1,0,82.05,74.49,9
6424,742,A-16,4028,4283,3792,5570,790,5625,3692,40,80,12,1,0,0,1,0,87.13,91.91,40
744,747,A-35,4550,1976,1817,4704,528,1565,4156,44,29,36,1,0,0,1,0,68.3,60.6,5
2667,763,A-25,4824,2577,3011,3973,5980,4848,2845,21,80,54,1,0,0,1,0,86.92,71.31,16
6708,770,A-46,4207,4768,1375,2449,1043,2014,776,14,80,37,1,0,0,1,0,66.7,72.3,39
6203,785,A-49,4847,5807,5611,2565,708,4312,5709,58,112,45,1,0,0,1,0,72.45,94.82,6
4080,806,A-8,8012,4801,1385,4832,1546,466,5737,6,109,18,1,0,0,1,0,93.27,63.84,13
717,813,A-29,3855,614,5100,2198,4571,3258,3566,14,116,48,1,0,0,1,0,72.23,75.57,21
3053,820,A-19,8153,476,5637,3803,1963,3460,5231,32,78,43,1,0,0,1,0,66.3,74.18,12
2219,825,A-12,3507,1144,1886,5862,1396,198,6465,39,48,54,1,0,0,1,0,76.13,84.98,30
4734,840,A-11,1720,5158,4645,2811,5876,4903,2215,12,40,38,1,0,0,1,0,67.99,85.67,47
449,841,A-14,5704,4126,1089,3799,3696,5556,2409,46,104,40,1,0,0,1,0,62.09,70.29,50
6965,887,A-45,6002,4669,1680,3195,1192,1632,318,17,119,48,1,0,0,1,0,71.62,89.75,18
110,890,A-46,6858,5240,4563,1445,1891,5738,2681,48,6,49,1,0,0,1,0,70.4,84.11,47
6729,896,A-27,7687,2311,1018,4755,2119,3243,5302,32,5,33,1,0,0,1,0,81.57,81.91,35
8098,897,A-46,7960,1155,5221,381,4998,1205,1744,30,76,21,1,0,0,1,0,83.81,84.35,37
4904,900,A-26,7997,5099,1837,1365,5040,3831,5981,43,87,23,1,0,0,1,0,64.07,91.46,25
5470,906,A-13,5578,1009,698,2308,1610,4130,661,44,116,33,1,0,0,1,0,62.72,77.64,38
1598,911,A-46,6333,5815,364,3719,5857,5205,4465,2,85,12,1,0,0,1,0,80.54,93.1,50
6401,916,A-37,8773,4818,4503,4865,5190,2517,4272,47,18,23,1,0,0,1,0,62.1,85.78,19
1020,932,A-4,5215,2875,683,837,2100,3888,4173,42,42,34,1,0,0,1,0,88.35,88.58,8
3648,932,A-16,5650,236,2364,5821,5104,4290,1755,15,15,21,1,0,0,1,0,74.04,68.98,41
9301,935,A-37,1206,5492,2660,2569,4979,3804,1289,58,62,32,1,0,0,1,0,70.62,74.35,28
9113,935,A-10,3713,1659,1599,1475,3558,5292,1820,40,7,28,1,0,0,1,0,63.01,70.68,3
2056,941,A-37,86,4663,248,2138,4091,4001,729,36,108,24,1,0,0,1,0,65.21,89.32,17
9245,945,A-31,6169,2884,4358,2079,142,1229,1839,6,5,33,1,0,0,1,0,61.38,72.47,17
6659,950,A-37,7244,2028,2174,397,5886,4139,2220,53,92,41,1,0,0,1,0,90.3,63.24,18
3965,959,A-10,1614,5963,946,4494,2641,696,4415,43,114,33,1,0,0,1,0,83.97,83.12,24
5256,963,A-31,6519,5579,904,152,1763,3163,6993,8,77,16,1,0,0,1,0,66.38,79.17,26
7647,985,A-15,4118,2532,5339,495,5922,3925,1597,27,95,20,1,0,0,1,0,73.78,92.62,47
6429,995,A-30,6581,2078,4486,3454,1790,2631,5223,8,95,55,1,0,0,1,0,69.13,76.84,26
7338,1016,A-11,5658,3264,4433,5143,4572,1180,2979,14,80,38,1,0,0,1,0,60.12,72.3,40
1770,1017,A-46,5991,4934,5004,751,2315,3271,3004,9,9,22,1,0,0,1,0,73.12,64.26,51
9911,1023,A-40,35,2759,2796,5090,3128,5562,494,46,108,19,1,0,0,1,0,82.22,73.09,12
5598,1055,A-11,1322,2004,2600,5237,5823,5144,4192,30,57,57,1,0,0,1,0,62.93,75.36,49
5462,1075,A-3,1234,5590,2272,5734,4460,98,6772,48,118,55,1,0,0,1,0,94.84,79.2,13
9348,1084,A-11,8160,651,499,3607,4500,3756,2900,20,116,42,1,0,0,1,0,60.67,65.12,24
1007,1086,A-9,3902,2945,5278,227,4336,1950,2518,57,84,21,1,0,0,1,0,75.71,66.86,42
923,1098,A-41,1177,102,3533,1281,165,3465,6005,3,30,42,1,0,0,1,0,71.82,90,31
2442,1102,A-23,8687,1994,1517,1022,5543,768,388,13,64,53,1,0,0,1,0,80.17,76.97,16
8827,1104,A-14,4003,3087,3899,924,794,753,206,47,79,57,1,0,0,1,0,69.61,61.03,15
9120,1105,A-6,5167,529,3729,4592,3845,3940,711,12,36,35,1,0,0,1,0,80.6,89.22,32
8842,1105,A-8,3260,1612,3847,4137,5486,4281,6888,28,66,44,1,0,0,1,0,66.61,93.45,20
9914,1110,A-50,1243,4686,2228,4497,4470,3367,335,7,63,41,1,0,0,1,0,86.98,94.7,38
6267,1113,A-10,111,442,2421,2302,4472,2495,927,31,60,41,1,0,0,1,0,61.01,74.75,14
5507,1123,A-4,3997,5121,5464,4640,2744,477,1580,16,112,56,1,0,0,1,0,80.14,89.96,28
709,1128,A-40,6956,3603,5916,1182,4322,4023,5555,16,72,24,1,0,0,1,0,84.57,63.6,15
6130,1148,A-25,1529,3395,2783,3460,4931,3675,4483,29,101,14,1,0,0,1,0,64.76,74.28,30
4448,1153,A-3,386,4913,1933,4645,464,3506,5757,28,67,31,1,0,0,1,0,73.24,79.66,8
2497,1162,A-40,6796,3945,4848,1163,943,1527,737,54,89,19,1,0,0,1,0,86,62.08,36
3068,1170,A-15,2766,4552,5251,3316,3591,1705,5323,55,38,26,1,0,0,1,0,62.02,71.32,9
506,1172,A-4,8666,3634,5515,1072,5654,353,5139,4,95,45,1,0,0,1,0,87.98,67.1,13
9967,1180,A-10,2733,4419,1650,4269,2825,5860,2625,12,100,59,1,0,0,1,0,77.62,86.89,8
3016,1181,A-12,3315,5311,1021,5681,1963,4452,5080,13,116,36,1,0,0,1,0,74.79,61.43,21
5663,1187,A-19,2771,3983,1515,1098,399,5664,4176,53,75,30,1,0,0,1,0,82.92,85.61,40
5756,1190,A-40,3724,5608,2984,5193,1422,403,3974,59,38,56,1,0,0,1,0,75.69,83.16,29
9054,1203,A-40,3079,1136,112,4032,3606,3798,3210,20,58,29,1,0,0,1,0,79.05,70.49,10
5364,1211,A-23,8167,450,1585,1685,4963,1405,1781,25,103,12,1,0,0,1,0,74.45,82.32,11
2615,1217,A-12,6249,98,2392,1918,313,926,4785,25,108,35,1,0,0,1,0,64.82,78.63,39
2772,1227,A-10,934,2167,186,3731,5334,1814,2507,3,43,19,1,0,0,1,0,84.44,61.41,46
7007,1230,A-49,3080,2926,4466,1904,3290,3412,4592,12,62,50,1,0,0,1,0,75.41,73.58,49
5912,1230,A-30,7767,5647,1039,4520,841,1373,4083,40,110,51,1,0,0,1,0,72.77,63.67,35
4043,1231,A-38,8992,2409,2995,3009,3409,4582,3543,47,51,19,1,0,0,1,0,90.84,70.9,13
7200,1232,A-12,4520,3482,2159,3721,2156,363,3615,9,20,37,1,0,0,1,0,88.78,67.33,32
7758,1233,A-30,3650,2163,4660,2147,1748,1185,5431,52,7,43,1,0,0,1,0,60.15,62.13,34
2528,1240,A-16,2125,4461,4979,4113,3870,5335,5309,47,61,25,1,0,0,1,0,62.43,70.9,37
2505,1244,A-42,1152,1383,65,3790,4436,243,3137,33,35,20,1,0,0,1,0,83.58,92.37,31
8331,1247,A-46,3004,1684,4752,3374,2425,3310,2311,3,65,25,1,0,0,1,0,85.02,70.5,44
9538,1247,A-40,7381,5572,591,1755,4825,3823,4910,36,77,25,1,0,0,1,0,84.63,65.71,16
7037,1250,A-5,7514,2092,154,5631,2808,2347,648,6,66,36,1,0,0,1,0,94.76,93.99,42
2660,1251,A-4,8830,684,1372,3652,5808,3394,2346,24,100,50,1,0,0,1,0,66.96,83,46
9562,1254,A-25,2882,5177,1531,4493,2511,4244,2022,46,63,13,1,0,0,1,0,94.56,81.9,42
318,1258,A-40,368,3626,1572,696,2036,5931,6224,5,70,53,1,0,0,1,0,72.14,74.36,35
4446,1263,A-10,1855,3447,2441,817,1823,370,205,25,109,49,1,0,0,1,0,80.13,63.14,4
7767,1267,A-25,4695,1006,2342,38,1194,1712,6067,58,41,43,1,0,0,1,0,80.71,79.78,20
9346,1272,A-6,1199,1998,772,4179,429,5363,1358,51,35,33,1,0,0,1,0,74.08,66.47,10
8944,1277,A-49,6256,5936,5553,5154,3109,5130,6247,48,28,50,1,0,0,1,0,73.12,91.6,33
9964,1277,A-6,733,4407,4998,113,3685,5295,1327,33,69,24,1,0,0,1,0,61.79,79.57,16
5413,1277,A-15,4053,5992,2553,1640,2573,482,4188,17,53,47,1,0,0,1,0,71.3,90.43,34
6131,1296,A-40,3900,5880,5174,4364,3762,5306,988,33,40,34,1,0,0,1,0,94.74,89.72,47
5731,1302,A-35,6962,1750,2963,2575,1501,2426,6582,3,38,19,1,0,0,1,0,89.77,86.03,30
6098,1306,A-7,5069,3829,1459,222,2955,4825,4410,3,117,52,1,0,0,1,0,70.2,67.56,28
6597,1315,A-41,3994,4151,2251,3466,2113,1800,3781,49,97,39,1,0,0,1,0,93.01,60.16,19
3335,1318,A-29,7731,2116,3992,3747,3615,1795,5067,17,118,49,1,0,0,1,0,88.89,75.94,4
1019,1318,A-37,3760,1119,2972,3991,3794,2304,4529,56,27,11,1,0,0,1,0,61.68,78.3,7
8573,1321,A-40,4176,215,3648,2097,5904,622,1319,20,16,18,1,0,0,1,0,65.45,69.93,20
8241,1323,A-11,3391,202,2293,225,751,4563,6828,27,110,29,1,0,0,1,0,90.11,65.62,49
8551,1328,A-41,8057,4463,2805,4342,2562,4202,4279,47,90,48,1,0,0,1,0,77.3,80.59,21
2788,1337,A-35,3493,5910,75,4758,810,3257,2561,41,71,45,1,0,0,1,0,83.28,73.74,7
2465,1342,A-7,3217,4690,514,3718,5071,2107,5399,27,105,47,1,0,0,1,0,61.99,68.06,6
1402,1344,A-32,2572,680,1729,5524,1311,4763,51,47,62,11,1,0,0,1,0,72.95,66.75,51
4352,1348,A-10,2991,3352,1656,3134,2676,748,6371,21,99,36,1,0,0,1,0,83.4,76.54,31
9814,1351,A-36,8039,3983,4828,178,4014,2990,2799,29,61,27,1,0,0,1,0,72.4,78.98,28
9437,1368,A-13,2674,593,5694,4910,5954,1986,6827,38,30,37,1,0,0,1,0,60.41,86.32,38
2348,1377,A-15,8319,1678,5882,5920,2099,2987,6938,36,78,50,1,0,0,1,0,83.96,73.08,13
8202,1379,A-6,4284,1069,3202,1094,1901,1152,1997,53,7,53,1,0,0,1,0,94.14,91.18,51
8820,1385,A-9,561,340,3085,3065,4811,258,832,27,58,20,1,0,0,1,0,67.69,82.37,35
8212,1394,A-49,6301,1897,4872,4545,3471,308,2023,24,75,17,1,0,0,1,0,90.52,93.75,13
8022,1407,A-34,7717,2899,1467,4434,2821,712,2797,33,25,55,1,0,0,1,0,78.98,75.07,17
1268,1416,A-42,6286,2030,5383,1213,2002,1921,5445,52,105,28,1,0,0,1,0,93.94,80.77,2
441,1428,A-25,460,3999,2750,3987,3204,2618,533,23,87,45,1,0,0,1,0,67.76,92.63,20
4203,2,A-18,7545,266,1679,4398,1215,4197,589,8,91,37,1,0,0,0,0,82.94,85.61,36
8166,6,A-4,561,5226,4182,4877,1654,1815,6704,55,118,16,1,0,0,0,0,87.79,70.61,37
9049,11,A-2,1544,4769,4658,5145,197,3208,2281,59,17,52,1,0,0,0,0,60.01,76.06,39
1855,12,A-38,358,733,387,5632,1055,3087,2235,37,68,37,1,0,0,0,0,64.94,66.72,19
5077,15,A-25,5633,1536,4734,3646,3758,4726,6044,40,84,24,1,0,0,0,0,66.74,62.97,13
8222,17,A-18,8909,4504,964,4482,4304,5470,603,4,97,13,1,0,0,0,0,78.76,67.44,5
4836,23,A-27,8316,3824,3970,1395,5463,863,5854,51,106,53,1,0,0,0,0,74.39,86.17,51
7267,48,A-14,4632,1971,4107,2345,4382,765,3714,16,40,38,1,0,0,0,0,65.35,91.03,32
4955,54,A-49,8331,5528,467,2726,645,1444,5147,20,47,26,1,0,0,0,0,88.31,88.64,48
8940,58,A-46,5510,3577,3735,5300,689,1361,3297,50,94,48,1,0,0,0,0,90.06,60.48,14
6154,59,A-44,6658,5952,3547,4704,288,4135,1077,48,103,32,1,0,0,0,0,70.38,78.92,7
273,68,A-19,3263,2618,5579,1248,5270,914,2227,39,86,47,1,0,0,0,0,82.81,68.36,18
1823,68,A-45,7691,5660,387,2025,1550,1186,5637,38,95,41,1,0,0,0,0,72.73,94.93,15
8218,73,A-28,1801,5784,117,609,1324,5623,4658,11,83,55,1,0,0,0,0,76.33,86.31,33
7293,79,A-6,5362,4507,3794,563,535,2002,2135,37,9,30,1,0,0,0,0,71.32,78.07,6
7902,88,A-49,1255,1543,2881,4630,39,3276,5297,59,70,34,1,0,0,0,0,69.08,86.03,15
6173,97,A-43,1563,2400,5740,4432,1882,204,3005,58,95,55,1,0,0,0,0,80.46,88.78,15
5796,98,A-47,3682,2589,1645,2547,1343,5095,2371,31,119,44,1,0,0,0,0,83.59,74.65,25
6211,102,A-22,6442,3497,440,4492,1804,1573,1769,31,57,57,1,0,0,0,0,89.52,62.89,48
9026,108,A-28,4551,4546,4717,2850,2644,1215,5122,34,63,39,1,0,0,0,0,85.53,89.15,32
8970,118,A-42,5966,3554,5948,927,464,5160,1158,8,23,54,1,0,0,0,0,79.65,68.64,30
5561,122,A-25,341,436,846,828,5559,3225,1202,11,52,34,1,0,0,0,0,78.11,85.13,34
1794,136,A-43,3592,2097,3614,2657,3669,5116,2506,19,54,51,1,0,0,0,0,80.46,67.57,9
9976,139,A-47,916,4473,1787,1474,4263,5476,2439,47,40,40,1,0,0,0,0,72.34,84.97,18
4292,144,A-17,4448,2448,3259,5872,2522,161,3929,16,70,42,1,0,0,0,0,91.68,73.91,4
6643,159,A-23,1358,1397,5609,5149,562,1595,1378,27,41,37,1,0,0,0,0,88.21,75.17,13
1724,171,A-29,6474,2040,4500,4470,3115,489,2825,21,14,27,1,0,0,0,0,89.19,78.3,50
9336,183,A-22,8828,4651,3747,2095,1085,5894,4093,33,98,47,1,0,0,0,0,85.88,91.74,35
1000,186,A-23,5339,5824,3058,626,3567,2037,503,55,55,58,1,0,0,0,0,83.96,84.47,48
1942,186,A-19,4546,5244,4996,2414,3918,1174,4986,37,26,44,1,0,0,0,0,62.8,71.68,20
9645,186,A-29,1644,476,1208,3562,5643,4711,6484,8,70,12,1,0,0,0,0,61.18,89.17,31
5599,198,A-36,3406,4256,2068,5029,1143,1150,5842,38,35,28,1,0,0,0,0,79.29,78.12,31
1493,200,A-32,8452,674,1519,2466,5743,93,1523,42,66,43,1,0,0,0,0,68.97,79.43,36
4512,209,A-21,8441,1811,1346,5240,1052,3566,6352,44,45,46,1,0,0,0,0,64.09,89.3,12
3551,218,A-46,8589,4110,4868,3210,3899,4941,4887,18,74,58,1,0,0,0,0,73.98,80.53,4
3426,222,A-50,5149,1653,3746,4186,1833,5252,3327,37,23,53,1,0,0,0,0,79.5,78.59,16
1743,226,A-33,5058,748,146,4654,1283,3123,4302,20,26,19,1,0,0,0,0,84.69,85.4,45
6540,231,A-21,8724,5309,510,3261,4257,2618,442,56,14,18,1,0,0,0,0,73.72,82.23,46
7987,240,A-13,6293,5125,4822,5960,5056,1164,6170,27,84,14,1,0,0,0,0,62.34,94.45,45
6548,246,A-13,6992,4410,1115,4938,74,4935,1450,56,6,23,1,0,0,0,0,79.94,88.59,43
470,272,A-45,1786,5783,1099,264,3949,4678,6233,51,24,47,1,0,0,0,0,66.84,65.23,8
9955,277,A-6,8363,5033,542,3338,2894,1500,1039,16,28,51,1,0,0,0,0,75.18,66,39
6071,281,A-7,4765,4912,5023,3129,178,4583,3011,59,28,41,1,0,0,0,0,88.04,74.61,40
1162,285,A-37,8226,13,1122,5482,2404,223,2255,10,69,31,1,0,0,0,0,72.79,85.47,38
6125,289,A-1,2182,2377,662,1354,4599,534,4637,30,46,23,1,0,0,0,0,90.06,60.5,14
3854,304,A-1,4731,3012,1521,4020,5435,633,762,28,107,50,1,0,0,0,0,61.27,90.55,14
